Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,2986,76830.16894202324,161269.5482321827,14335.070953971795,13829.430409564184,0.0,0.0,0.0,114680.56763177436,505.6405444076085,0.0,231956.55207941943,0.0,0.0,0.0,589507.4648136484,0.0,0.0,0.0,0.0,69848.590300226,14335.070953971795,589507.4648136484,1.0
 ,2987,76830.16894202324,154648.59460385813,13746.541742565167,13829.430409564184,0.0,0.0,0.0,109972.33394052133,0.0,82.888666999017,231873.6634124204,0.0,0.0,0.0,566710.3532055232,0.0,0.0,0.0,0.0,69848.590300226,13746.541742565167,566710.3532055232,1.0
 ,2988,76830.16894202324,143557.2609279449,12760.645415817326,13829.430409564184,0.0,0.0,0.0,102085.1633265386,0.0,1068.7849937468582,230804.87841867353,0.0,0.0,0.0,529317.1540875903,0.0,0.0,0.0,0.0,69848.590300226,12760.645415817326,529317.1540875902,1.0
 ,2989,76830.16894202324,133654.4312510164,11880.393888979235,13829.430409564184,0.0,0.0,0.0,95043.15111183388,0.0,1949.0365205849503,228855.84189808858,0.0,0.0,0.0,495930.8641462343,0.0,0.0,0.0,0.0,69848.590300226,11880.393888979235,495930.8641462343,1.0
 ,2990,66511.39347166927,134685.5717801303,11972.050824900472,11972.05082490047,0.0,0.0,0.0,95776.40659920378,0.0,0.0,228855.84189808858,0.0,0.0,0.0,493319.1623414631,0.0,0.0,0.0,0.0,69848.590300226,11972.050824900472,493319.1623414631,1.0
 ,2991,76830.16894202324,155581.09210759707,13829.430409564184,13829.430409564184,0.0,0.0,0.0,110635.44327651347,0.0,0.0,228855.84189808858,0.0,0.0,0.0,503498.0041433307,0.0,0.0,0.0,69848.590300226,0.0,13829.430409564184,573346.5944435566,1.0
 ,2992,76830.16894202324,129510.01779735743,11512.001581987328,13829.430409564184,0.0,0.0,0.0,92096.01265589862,0.0,2317.428827576856,226538.41307051224,0.0,0.0,0.0,481958.43467760686,0.0,0.0,0.0,0.0,0.0,11512.001581987328,481958.4346776068,1.0
 ,2993,76830.16894202324,127903.23032247898,11369.176028664799,13829.430409564184,0.0,0.0,0.0,90953.40822931839,0.0,2460.254380899385,224078.15868961284,0.0,0.0,0.0,476541.3292379958,0.0,0.0,0.0,0.0,0.0,11369.176028664799,476541.3292379958,1.0
 ,2994,72686.84993288995,147190.87111410216,13083.632987920193,13083.632987920191,0.0,0.0,0.0,104669.06390336154,0.0,0.0,224078.15868961284,0.0,0.0,0.0,539122.9088803657,0.0,0.0,0.0,0.0,0.0,13083.632987920193,539122.9088803657,1.0
 ,2995,76830.16894202324,163184.05063274852,14505.248945133202,13829.430409564184,0.0,0.0,0.0,116041.99156106562,675.8185355690181,0.0,224753.97722518185,0.0,0.0,0.0,596121.9642463588,0.0,0.0,0.0,0.0,0.0,14505.248945133202,596121.9642463587,1.0
 ,2996,76830.16894202324,161768.60902130243,14379.43191300466,13829.430409564184,0.0,0.0,0.0,115035.45530403728,550.0015034404765,0.0,225303.9787286223,0.0,0.0,0.0,591231.6921144577,0.0,0.0,0.0,0.0,0.0,14379.43191300466,591231.6921144576,1.0
 ,2997,76830.16894202324,168133.38757099598,14945.190006310755,13829.430409564184,0.0,0.0,0.0,119561.52005048604,1115.7595967465709,0.0,226419.73832536887,0.0,0.0,0.0,613221.6484048406,0.0,0.0,0.0,0.0,0.0,14945.190006310755,613221.6484048406,1.0
 ,2998,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,229964.78023070892,0.0,0.0,0.0,723741.6364166366,0.0,16098.339581097054,0.0,0.0,0.0,17374.47231490421,707643.2968355396,1.0
 ,2999,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,233509.82213604896,0.0,0.0,0.0,843351.4156073772,0.0,135708.11877183762,0.0,0.0,0.0,17374.47231490421,707643.2968355396,1.0
 ,3000,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,237054.86404138894,0.0,0.0,0.0,845497.4446867178,0.0,0.0,131289.66462016976,0.0,131289.66462016976,17374.47231490421,714207.7800665481,1.0
 ,3001,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,240599.90594672898,0.0,0.0,0.0,837624.4896429266,0.0,129981.1928073869,0.0,0.0,131289.66462016976,17374.47231490421,707643.2968355396,1.0
 ,3002,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,244144.94785206902,0.0,0.0,0.0,809174.8661626779,0.0,93628.82449616847,7526.423648542579,0.0,138816.08826871234,17374.47231490421,708019.6180179667,1.0
 ,3003,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,247689.98975740906,0.0,0.0,0.0,770287.0790536426,0.0,0.0,59660.74496962178,0.0,198476.83323833413,17374.47231490421,710626.3340840207,1.0
 ,3004,76830.16894202324,195462.81354267237,17374.47231490421,13829.430409564184,0.0,0.0,0.0,138995.7785192337,3545.0419053400274,0.0,251235.0316627491,0.0,0.0,0.0,681060.5772862138,0.0,0.0,0.0,27981.81005192206,170495.02318641206,17374.47231490421,709042.3873381357,1.0
