Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,3337,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,10949.052028317026,0.0,0.0,482417.9301735139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15231.60198148375,0.0,0.0,19562.022068655882,11369.873475439173,467186.32819203014,1.0
 ,3338,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,11513.50808786821,0.0,0.0,482417.9301735139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14506.287601413094,0.0,34068.30967006898,11369.873475439173,467911.6425721008,1.0
 ,3339,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,12077.964147419392,0.0,0.0,482417.9301735139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14506.287601413094,0.0,48574.597271482075,11369.873475439173,467911.6425721008,1.0
 ,3340,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,12642.420206970575,0.0,0.0,470322.34628632927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2986.683899332503,0.0,51561.281170814575,11369.873475439173,467335.6623869968,1.0
 ,3341,60030.09675493328,121560.9459287399,10805.41741588799,10805.41741588799,0.0,0.0,0.0,86443.33932710392,0.0,0.0,12642.420206970575,0.0,0.0,404858.54293703387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42514.143763529995,9047.13740728458,10805.41741588799,447372.6867005638,1.0
 ,3342,50630.32100841337,102526.40004203706,9113.457781514406,9113.457781514406,0.0,0.0,0.0,72907.66225211525,0.0,0.0,12642.420206970575,0.0,0.0,375528.255314465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9047.13740728458,9113.457781514408,375528.25531446503,1.0
 ,3343,55492.381231312305,112372.07199340741,9988.628621636215,9988.628621636215,0.0,0.0,0.0,79909.02897308972,0.0,0.0,12642.420206970575,0.0,24281.37956611209,378714.29976343794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9047.13740728458,0.0,9988.628621636217,412042.81673683465,1.0
 ,3344,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,13206.876266521758,0.0,223591.03683794884,382169.4403395647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138574.1489854834,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
 ,3345,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,13771.332326072941,0.0,323751.7275481612,402239.10877824115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258804.50813437218,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
 ,3346,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,14335.788385624124,0.0,362703.10726879933,421414.8436154746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316931.6226922438,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
 ,3347,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,14900.244445175296,0.0,378890.6936462074,401716.2017503395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313420.56720451673,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
 ,3348,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,15464.70050472648,0.0,384455.1764634414,389901.14253789996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307169.9908093112,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
 ,3349,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,16029.156564277662,0.0,389513.79720638145,349405.04117129295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271732.51018564426,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
 ,3350,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,16593.612623828845,0.0,387996.2109834994,300985.0900529498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221794.97284441907,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
 ,3351,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,17158.06868338003,0.0,385972.76268632343,280947.8493248445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199734.28381913778,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
 ,3352,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,17722.52474293121,0.0,379902.4177947954,307312.2177582285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220028.30736099376,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
 ,3353,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,18286.980802482394,0.0,364726.5555659753,362291.2172051992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259831.44457914436,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
 ,3354,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,18851.436862033577,0.0,328810.3482911012,428977.65892241977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290601.67902149085,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
 ,3355,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,19415.89292158476,0.0,238261.03699247487,462875.0928738066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208569.85462204053,24171.378144962688,0.0,24171.378144962688,11369.873475439173,468394.8970992783,1.0
 ,3356,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,19980.348981135943,0.0,34398.62105199213,461547.1053171825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27389.903025851887,0.0,51561.281170814575,11369.873475439173,468555.8233433227,1.0
