Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,4631,59696.95166584231,120886.32712333069,10745.451299851617,10745.451299851617,0.0,60991.18157795777,0.0,85963.61039881293,0.0,0.0,201188.24786770265,0.0,562289.318800048,0.0,0.0,0.0,0.0,0.0,0.0,235359.22594252194,10745.45129985162,562289.318800048,1.0
 ,4632,45975.91971059864,93101.23741396224,8275.665547907754,8275.665547907754,0.0,46972.67764992441,0.0,66205.32438326204,0.0,0.0,201188.24786770265,0.0,433050.0612491105,0.0,0.0,0.0,0.0,0.0,0.0,235359.22594252194,8275.665547907756,433050.0612491105,1.0
 ,4633,75472.75667865906,96313.15869322342,8561.16966161986,13585.096202158631,0.0,48593.198999354325,0.0,68489.35729295888,0.0,5023.9265405387705,196164.3213271639,0.0,460549.7725507988,0.0,0.0,0.0,0.0,0.0,0.0,235359.22594252194,8561.169661619862,460549.7725507988,1.0
 ,4634,56209.398155068695,113824.03126401412,10117.691667912366,10117.691667912366,0.0,57428.017907070585,0.0,80941.53334329893,0.0,0.0,196164.3213271639,0.0,529439.8343099768,0.0,0.0,0.0,0.0,0.0,0.0,235359.22594252194,10117.691667912368,529439.8343099769,1.0
 ,4635,56398.72248851068,114207.41303923413,10151.770047931923,10151.770047931923,0.0,57621.446792061586,0.0,81214.16038345538,0.0,0.0,196164.3213271639,0.0,531223.0920394377,0.0,0.0,0.0,0.0,0.0,0.0,235359.22594252194,10151.770047931925,531223.0920394377,1.0
 ,4636,53638.57299569842,108618.1103162893,9654.943139225716,9654.943139225716,0.0,54801.45725824516,0.0,77239.54511380573,0.0,0.0,196164.3213271639,0.0,505225.0714572956,0.0,0.0,0.0,0.0,0.0,0.0,235359.22594252194,9654.943139225716,505225.0714572956,1.0
 ,4637,75472.75667865906,103327.17037953244,9184.63736706955,13585.096202158631,0.0,52132.00169548676,0.0,73477.0989365564,0.0,4400.458835089081,191763.8624920748,0.0,491615.999311409,0.0,0.0,0.0,0.0,0.0,0.0,235359.22594252194,9184.637367069552,491615.9993114091,1.0
 ,4638,75472.75667865906,98516.95692698818,8757.062837954505,13585.096202158631,0.0,49705.088668229764,0.0,70056.50270363604,0.0,4828.033364204126,186935.82912787067,0.0,470310.76222784846,0.0,0.0,0.0,0.0,0.0,0.0,235359.22594252194,8757.062837954507,470310.76222784846,1.0
 ,4639,51755.29409988066,104804.47055225831,9315.952937978516,9315.952937978518,0.0,52877.348875966054,0.0,74527.62350382813,0.0,0.0,186935.82912787067,0.0,487486.34983265714,0.0,0.0,0.0,0.0,0.0,0.0,235359.22594252194,9315.952937978518,487486.34983265714,1.0
 ,4640,61909.05703553301,125365.84049695433,11143.630266395941,11143.630266395943,0.0,63251.245392063356,0.0,89149.04213116753,0.0,0.0,186935.82912787067,0.0,583125.2775337503,0.0,0.0,0.0,0.0,0.0,0.0,235359.22594252194,11143.630266395945,583125.2775337503,1.0
 ,4641,69462.10149600849,140660.7555294172,12503.178269281529,12503.178269281529,0.0,70968.03985644194,0.0,100025.42615425223,0.0,0.0,186935.82912787067,0.0,654267.8753722474,0.0,0.0,0.0,0.0,0.0,0.0,235359.22594252194,12503.17826928153,654267.8753722475,1.0
 ,4642,70608.01193526266,142981.22416890692,12709.442148347282,12709.44214834728,0.0,72138.79363401917,0.0,101675.53718677825,0.0,0.0,186935.82912787067,0.0,665061.2774189851,0.0,0.0,0.0,0.0,0.0,0.0,235359.22594252194,12709.442148347283,665061.2774189851,1.0
 ,4643,75472.75667865906,161084.7642447059,14318.645710640525,13585.096202158631,0.0,81272.63305359561,0.0,114549.1656851242,733.5495084818951,0.0,187669.37863635257,0.0,748123.5453438796,0.0,0.0,0.0,0.0,0.0,0.0,235359.22594252194,14318.645710640529,748123.5453438796,1.0
 ,4644,75472.75667865906,175310.60733880696,15583.165096782843,13585.096202158631,0.0,88450.0450893394,0.0,124665.32077426274,1998.0688946242108,0.0,189667.4475309768,0.0,812320.8236044759,0.0,0.0,0.0,0.0,0.0,0.0,235359.22594252194,15583.165096782843,812320.8236044759,1.0
 ,4645,75472.75667865906,175331.4053550264,15585.01380933568,13585.096202158631,0.0,88460.5383817893,0.0,124680.11047468544,1999.9176071770498,0.0,191667.36513815384,0.0,812414.6792744476,0.0,0.0,0.0,0.0,0.0,0.0,235359.22594252194,15585.013809335682,812414.6792744475,1.0
 ,4646,75472.75667865906,180073.35305306007,16006.520271383119,13585.096202158631,0.0,90853.00906037058,0.0,128052.16217106495,2421.4240692244884,0.0,194088.78920737832,0.0,833813.7720279796,0.0,0.0,0.0,0.0,0.0,0.0,235359.22594252194,16006.520271383119,833813.7720279795,1.0
 ,4647,75472.75667865906,183463.42969682976,16307.860417495978,13585.096202158631,0.0,92563.41572970717,0.0,130462.88333996783,2722.764215337348,0.0,196811.55342271566,0.0,849112.2462333556,0.0,0.0,0.0,0.0,0.0,0.0,235359.22594252194,16307.860417495982,849112.2462333556,1.0
 ,4648,75472.75667865906,184777.74891031155,16424.688792027693,13585.096202158631,0.0,93226.53358354917,0.0,131397.51033622155,2839.592589869062,0.0,199651.14601258474,0.0,868071.0915676254,0.0,0.0,0.0,0.0,12407.321726187642,0.0,247766.5476687096,16424.688792027693,855663.7698414378,1.0
 ,4649,75472.75667865906,184777.74891031155,16424.688792027693,13585.096202158631,0.0,93226.53358354917,0.0,131397.51033622155,2839.592589869062,0.0,202490.73860245378,0.0,864504.5761087034,0.0,0.0,0.0,0.0,9010.640336742092,0.0,256777.1880054517,16424.68879202761,855493.9357719613,1.0
 ,4650,75472.75667865906,182777.09516158808,16246.852903252275,13585.096202158631,0.0,92217.1370788599,0.0,129974.8232260182,2661.756701093642,0.0,205152.49530354742,0.0,846015.0091242918,0.0,0.0,0.0,0.0,0.0,0.0,256777.1880054517,16246.852903252275,846015.0091242918,1.0
 ,4651,75472.75667865906,173771.5541385679,15446.360367872705,13585.096202158631,0.0,87673.54144804546,0.0,123570.88294298164,1861.2641657140741,0.0,207013.75946926148,0.0,805375.5040265751,0.0,0.0,0.0,0.0,0.0,0.0,256777.1880054517,15446.36036787271,805375.5040265751,1.0
 ,4652,75472.75667865906,154013.43873009426,13690.083442675046,13585.096202158631,0.0,77704.91362062356,0.0,109520.66754140037,104.9872405164153,0.0,207118.7467097779,0.0,716212.6175535246,0.0,0.0,0.0,0.0,0.0,0.0,256777.1880054517,13690.083442675046,716212.6175535246,1.0
 ,4653,75472.75667865906,140431.50410378329,12482.800364780738,13585.096202158631,0.0,70852.37487049546,0.0,99862.4029182459,0.0,1102.2958373778947,206016.4508724,0.0,655957.2774317368,0.0,0.0,0.0,0.0,0.0,0.0,256777.1880054517,12482.800364780738,655957.2774317368,1.0
 ,4654,75472.75667865906,152832.3322742836,13585.096202158542,13585.096202158631,0.0,77109.00604345187,0.0,108680.76961726834,0.0,0.0,206016.4508724,0.0,648824.2465138928,0.0,0.0,0.0,0.0,0.0,65324.59546282618,191452.5925426255,13585.096202158542,714148.841976719,1.0
 ,4655,75472.75667865906,147699.8002016805,13128.871129038267,13585.096202158631,0.0,74519.47252842119,0.0,105030.96903230614,0.0,456.22507312036396,205560.22579927964,0.0,688149.7722320065,0.0,0.0,0.0,0.0,0.0,0.0,191452.5925426255,13128.871129038267,688149.7722320064,1.0
 ,4656,75472.75667865906,133671.77682906255,11881.935718138895,13585.096202158631,0.0,67441.86713615636,0.0,95055.48574511116,0.0,1703.160484019736,203857.0653152599,0.0,626017.3187107862,0.0,0.0,0.0,0.0,0.0,0.0,191452.5925426255,11881.935718138895,626017.3187107862,1.0
