Informations,Time,MeOH-straw,Biomass wood,H2O wwtp,H2_from_SOEC_A,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,3079,5118.155964028241,5921.706450380675,6170.560279877991,548.4942471002659,374.1342078968013,0.0,4308.843466842741,0.0,4387.953976802127,174.36003920346462,0.0,13889.937290189262,21356.19152653036,0.0,0.0,0.0,6555.563283409316,0.0,4687.868166786127,0.0,0.0,0.0,548.4942471002659,23223.88664315355,1.0
 ,3080,1023.6311928056483,1184.3412900761352,6170.560279877991,548.4942471002659,74.82684157936026,0.0,861.7686933685482,0.0,4387.953976802127,473.6674055209056,0.0,14363.604695710168,25290.22680773332,0.0,0.0,0.0,8281.201788917773,0.0,9545.881293856037,0.0,0.0,0.0,548.4942471002659,24025.547302795054,1.0
 ,3081,5118.155964028241,5921.706450380675,6170.560279877991,548.4942471002659,374.1342078968013,0.0,4308.843466842741,0.0,4387.953976802127,174.36003920346462,0.0,14537.964734913632,27573.372283431472,0.0,0.0,0.0,11003.565369132866,0.0,15353.051009410789,0.0,0.0,0.0,548.4942471002659,23223.88664315355,1.0
 ,3082,5118.155964028241,5921.706450380675,6170.560279877991,548.4942471002659,374.1342078968013,0.0,4308.843466842741,0.0,4387.953976802127,174.36003920346462,0.0,14712.324774117096,28662.257048764433,0.0,0.0,0.0,12344.952385560493,0.0,17783.322791171377,0.0,0.0,0.0,548.4942471002659,23223.88664315355,1.0
 ,3083,5118.155964028241,5921.706450380675,6170.560279877991,548.4942471002659,374.1342078968013,0.0,4308.843466842741,0.0,4387.953976802127,174.36003920346462,0.0,14886.68481332056,28275.87858364629,0.0,0.0,0.0,12752.491843676524,0.0,17804.483784169264,0.0,0.0,0.0,548.4942471002659,23223.88664315355,1.0
 ,3084,5118.155964028241,5921.706450380675,6170.560279877991,548.4942471002659,374.1342078968013,0.0,4308.843466842741,0.0,4387.953976802127,174.36003920346462,0.0,15061.044852524024,26624.988778141473,0.0,0.0,0.0,13721.27135554092,0.0,17122.373490528844,0.0,0.0,0.0,548.4942471002659,23223.88664315355,1.0
 ,3085,5118.155964028241,5921.706450380675,6170.560279877991,548.4942471002659,374.1342078968013,0.0,4308.843466842741,0.0,4387.953976802127,174.36003920346462,0.0,15235.404891727489,25887.357162915916,0.0,0.0,0.0,15481.841814602178,0.0,18145.312334364542,0.0,0.0,0.0,548.4942471002659,23223.88664315355,1.0
 ,3086,5118.155964028241,5921.706450380675,6170.560279877991,548.4942471002659,374.1342078968013,0.0,4308.843466842741,0.0,4387.953976802127,174.36003920346462,0.0,15409.764930930953,26133.2343679911,0.0,0.0,0.0,17268.02903960216,0.0,20177.37676443971,0.0,0.0,0.0,548.4942471002659,23223.88664315355,1.0
 ,3087,5118.155964028241,5921.706450380675,6170.560279877991,548.4942471002659,374.1342078968013,0.0,4308.843466842741,0.0,4387.953976802127,174.36003920346462,0.0,15584.124970134417,27186.993818313324,0.0,0.0,0.0,18798.04860521492,0.0,22761.155780374695,0.0,0.0,0.0,548.4942471002659,23223.88664315355,1.0
 ,3088,5118.155964028241,5921.706450380675,6170.560279877991,548.4942471002659,374.1342078968013,0.0,4308.843466842741,0.0,4387.953976802127,174.36003920346462,0.0,15758.485009337881,26765.490038184435,0.0,0.0,0.0,19382.576627998485,0.0,22924.18002302937,0.0,0.0,0.0,548.4942471002659,23223.88664315355,1.0
 ,3089,5118.155964028241,5921.706450380675,6170.560279877991,548.4942471002659,374.1342078968013,0.0,4308.843466842741,0.0,4387.953976802127,174.36003920346462,0.0,15932.845048541345,25536.104012808508,0.0,0.0,0.0,19617.785115254024,0.0,21930.002484908982,0.0,0.0,0.0,548.4942471002659,23223.88664315355,1.0
 ,3090,5118.155964028241,5921.706450380675,6170.560279877991,548.4942471002659,374.1342078968013,0.0,4308.843466842741,0.0,4387.953976802127,174.36003920346462,0.0,16107.20508774481,21707.44467663777,0.0,0.0,0.0,19731.896163526515,0.0,18215.454197010735,0.0,0.0,0.0,548.4942471002659,23223.88664315355,1.0
