Informations,Time,MeOH biogas H2,Biogas w H2,H2O wwtp,H2_from_SOEC_A,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,6242,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,143488.19938049815,0.0,155466.68536814227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18906.98871362052,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6243,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,144644.88335934753,0.0,157882.8593325879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21323.162678066146,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6244,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,145801.5673381969,0.0,158652.3986704888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22092.70201596705,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6245,52101.06288778122,65482.210186828845,35256.32107076209,3133.8952062899634,1977.2112274405904,0.0,0.0,0.0,1156.683978849373,0.0,146958.2513170463,0.0,160757.3507906105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24197.654136088764,0.0,0.0,0.0,3133.8952062899634,136559.69665452174,1.0
 ,6246,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,148114.93529589567,25863.338765059743,152088.25943851547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41391.901549053466,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6247,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,149271.61927474506,84251.78537102795,149720.97494631368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97413.06366281988,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6248,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788492944,0.0,150428.30325359435,117756.56513485534,136066.9309361265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117263.79941646016,0.0,0.0,0.0,3133.895206289964,136559.6966545217,1.0
 ,6249,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,151584.98723244373,134019.1190553096,156489.5758948239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153948.99829561176,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6250,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,152741.6712112931,140484.9537465745,158613.91098280952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162539.16807486227,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6251,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,153898.3551901425,142640.23197699615,162075.4345225087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168155.9698449831,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6252,52101.06288778122,65482.210186828845,35256.32107076209,3133.8952062899634,1977.2112274405904,0.0,0.0,0.0,1156.683978849373,0.0,155055.03916899188,143619.90389991508,160725.17107515485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167785.3783205482,0.0,0.0,0.0,3133.8952062899634,136559.69665452174,1.0
 ,6253,52101.06288778122,65482.210186828845,35256.32107076209,3133.8952062899634,1977.2112274405904,0.0,0.0,0.0,1156.683978849373,0.0,156211.72314784126,142052.4288232448,159627.73894653388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165120.47111525692,0.0,0.0,0.0,3133.8952062899634,136559.69665452174,1.0
 ,6254,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,157368.40712669064,137154.06920865015,162276.44089045876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162870.81344458717,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6255,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,158525.09110554002,129708.56259446629,161021.2781790129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154170.14411895745,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6256,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,159681.7750843894,114621.61498151477,155759.60481368506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133821.52314067807,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6257,52101.06288778122,65482.210186828845,35256.32107076209,3133.8952062899634,1977.2112274405904,0.0,0.0,0.0,1156.683978849373,0.0,160838.45906323878,80137.16329476844,142267.2248549257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85844.6914951724,0.0,0.0,0.0,3133.8952062899634,136559.69665452174,1.0
 ,6258,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,161995.14304208817,10776.391152108226,131278.2798109309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5494.974308517376,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6259,52101.06288778122,65482.210186828845,32140.53647704697,2856.9365757375085,1977.2112274405904,0.0,0.0,0.0,879.7253482969182,0.0,162874.8683903851,0.0,124326.95324045212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2856.936575737509,124326.95324045212,1.0
 ,6260,52101.06288778122,65482.210186828845,30654.03610612183,2724.8032094330515,1977.2112274405904,0.0,0.0,0.0,747.5919819924609,0.0,163622.46037237757,0.0,118490.87020084607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2724.803209433052,118490.87020084607,1.0
 ,6261,52101.06288778122,65482.210186828845,29099.765893818058,2586.645857228272,1977.2112274405904,0.0,0.0,0.0,609.4346297876815,0.0,164231.89500216526,0.0,112388.71899899632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2586.6458572282722,112388.71899899634,1.0
 ,6262,52101.06288778122,65482.210186828845,26344.918126849778,2341.770500164425,1977.2112274405904,0.0,0.0,0.0,364.5592727238341,0.0,164596.45427488908,0.0,101573.03361878068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2341.770500164425,101573.0336187807,1.0
 ,6263,52101.06288778122,65482.210186828845,30400.094727563566,2702.230642450095,1977.2112274405904,0.0,0.0,0.0,725.0194150095048,0.0,165321.4736898986,0.0,117493.88224077197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2702.2306424500953,117493.88224077197,1.0
 ,6264,52101.06288778122,65482.210186828845,23176.114779225336,2060.0990914866966,1977.2112274405904,0.0,0.0,0.0,82.88786404610609,0.0,165404.3615539447,0.0,89132.13563137672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2060.099091486697,89132.13563137672,1.0
 ,6265,52101.06288778122,65482.210186828845,18154.41186183543,1613.725498829816,1977.2112274405904,0.0,0.0,0.0,0.0,363.48572861083085,165040.87582533387,0.0,69758.32757910265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1613.7254988298162,69758.32757910265,1.0
 ,6266,52101.06288778122,65482.210186828845,17887.12726890707,1589.966868347295,1977.2112274405904,0.0,0.0,0.0,0.0,387.2443590932953,164653.6314662406,0.0,68731.28653077541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1589.9668683472948,68731.28653077541,1.0
 ,6267,52101.06288778122,65482.210186828845,18044.568553108315,1603.9616491651834,1977.2112274405904,0.0,0.0,0.0,0.0,373.2495782754072,164280.3818879652,0.0,69336.2546653187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1603.9616491651836,69336.2546653187,1.0
 ,6268,52101.06288778122,65482.210186828845,18007.228189900045,1600.642505768893,1977.2112274405904,0.0,0.0,0.0,0.0,376.5687216716974,163903.8131662935,0.0,69192.77431969094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.6425057688932,69192.77431969094,1.0
 ,6269,52101.06288778122,65482.210186828845,17366.60762588889,1543.698455634568,1977.2112274405904,0.0,0.0,0.0,0.0,433.51277180602233,163470.30039448748,0.0,66731.18980247808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1543.6984556345685,66731.18980247808,1.0
 ,6270,52101.06288778122,65482.210186828845,19297.338283459172,1715.318958529704,1977.2112274405904,0.0,0.0,0.0,0.0,261.8922689108863,163208.4081255766,13127.603767113658,61022.41858707822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1715.318958529704,74150.02235419187,1.0
