Informations,Time,MeOH biogas H2,Biogas w H2,H2O wwtp,H2_from_AEC,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,3189,3719.7794136251655,4675.132596359497,2466.513532305859,219.24564731607637,141.1639074631413,0.0,1244.4382941660492,0.0,1753.965178528611,78.08173985293507,0.0,4994.589531561555,0.0,0.0,0.0,0.0,10997.996355633126,0.0,0.0,0.0,0.0,0.0,219.24564731607637,10997.996355633126,1.0
 ,3190,3719.7794136251655,4675.132596359497,2430.7879050867705,216.07003600771296,141.1639074631413,0.0,1226.4135243797787,0.0,1728.5602880617037,74.90612854457166,0.0,5069.495660106127,0.0,0.0,0.0,0.0,10836.77652377872,0.0,0.0,0.0,0.0,0.0,216.070036007713,10836.77652377872,1.0
 ,3191,3719.7794136251655,4675.132596359497,2399.204379574244,213.26261151771058,141.1639074631413,0.0,1210.4785829745251,0.0,1706.1008921416847,72.09870405456928,0.0,5141.594364160696,0.0,0.0,0.0,0.0,10694.248846342218,0.0,0.0,0.0,0.0,0.0,213.26261151771058,10694.248846342218,1.0
 ,3192,3719.7794136251655,4675.132596359497,2164.1401077269115,192.3680095757255,141.1639074631413,0.0,1091.8808223518179,0.0,1538.944076605804,51.204102112584195,0.0,5192.798466273281,0.0,0.0,0.0,0.0,9633.469083126276,0.0,0.0,0.0,0.0,0.0,192.3680095757255,9633.469083126276,1.0
 ,3193,3719.7794136251655,4675.132596359497,1588.0939589603395,141.1639074631413,141.1639074631413,0.0,801.24633876079,0.0,1129.3112597051304,0.0,0.0,5192.798466273281,0.0,0.0,0.0,0.0,8235.062280736976,0.0,1201.1294541751395,0.0,0.0,0.0,141.1639074631413,7033.932826561837,1.0
 ,3194,3719.7794136251655,4675.132596359497,1588.0939589603395,141.1639074631413,141.1639074631413,0.0,801.24633876079,0.0,1129.3112597051304,0.0,0.0,5192.798466273281,0.0,0.0,0.0,0.0,7420.785303907119,0.0,386.85247734528184,0.0,0.0,0.0,141.1639074631413,7033.932826561837,1.0
 ,3195,3719.7794136251655,4675.132596359497,1560.1706497914959,138.68183553702187,141.1639074631413,0.0,787.158098508136,0.0,1109.454684296175,0.0,2.482071926119403,5190.31639434716,0.0,0.0,0.0,0.0,6910.255836368169,0.0,0.0,0.0,0.0,0.0,138.68183553702193,6910.25583636817,1.0
 ,3196,3719.7794136251655,4675.132596359497,1110.714895396786,98.73021292415876,141.1639074631413,0.0,560.392688557525,0.0,789.8417033932701,0.0,42.43369453898231,5147.882699808178,0.0,0.0,0.0,0.0,4919.541390861598,0.0,0.0,0.0,0.0,0.0,98.73021292415876,4919.541390861598,1.0
 ,3197,3719.7794136251655,4675.132596359497,939.7163882098718,83.53034561865528,141.1639074631413,0.0,474.1182417314873,0.0,668.2427649492422,0.0,57.633561844486024,5090.249137963691,1461.1441893927101,0.0,0.0,0.0,2701.0163133868477,0.0,0.0,0.0,0.0,0.0,83.53034561865528,4162.160502779557,1.0
 ,3198,3719.7794136251655,4675.132596359497,1434.8050210572435,127.5382240939772,141.1639074631413,0.0,723.9069599574145,0.0,1020.3057927518176,0.0,13.625683369164094,5076.623454594527,4865.459517256138,0.0,0.0,0.0,1489.5310551765706,0.0,0.0,0.0,0.0,0.0,127.5382240939772,6354.990572432708,1.0
