Informations,Time,MeOH biogas H2,Biogas w H2,H2O wwtp,H2_from_AEC,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,3200,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,217.09912541091387,0.0,6091.965862017689,0.0,0.0,0.0,0.0,595.2455193421863,0.0,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3201,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,219.3730688285466,0.0,6696.512092599597,0.0,0.0,0.0,0.0,0.0,9.30071123972175,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3202,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,221.64701224617932,0.0,7105.74338714735,0.0,0.0,0.0,0.0,0.0,418.5320057874751,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3203,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,223.92095566381204,0.0,7319.659745660949,0.0,0.0,0.0,0.0,0.0,632.4483643010735,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3204,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,226.19489908144476,0.0,7328.960456900671,0.0,0.0,0.0,0.0,0.0,641.7490755407953,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3205,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,228.46884249907748,0.0,7375.464013099278,0.0,0.0,0.0,0.0,0.0,688.2526317394031,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3206,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,230.7427859167102,0.0,7254.554766982897,0.0,0.0,0.0,0.0,0.0,567.3433856230213,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3207,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,233.01672933434293,0.0,6994.13485227069,0.0,0.0,0.0,0.0,0.0,306.923470910815,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3208,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,235.29067275197565,0.0,6547.70071276405,0.0,0.0,0.0,0.0,139.51066859582514,0.0,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3209,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,237.56461616960837,0.0,6212.875108134071,0.0,0.0,0.0,0.0,474.33627322580446,0.0,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3210,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,239.8385595872411,0.0,5413.013941518007,0.0,0.0,0.0,0.0,1274.1974398418677,0.0,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3211,3475.3709198813062,4367.952522255193,1483.7480800054884,131.88871822271008,131.88871822270195,0.0,748.6003646321024,0.0,1055.1097457816807,8.128608897095546e-12,0.0,239.83855958724922,0.0,3590.0745385325617,0.0,0.0,0.0,0.0,2981.692999158421,0.0,0.0,0.0,0.0,131.88871822271008,6571.767537690983,1.0
 ,3212,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,242.11250300488194,0.0,1060.2810813282695,0.0,0.0,0.0,0.0,5626.930300031604,0.0,0.0,1.7899132468588314e-12,-1.7899132468588314e-12,134.16266164033468,6687.211381359875,1.0
 ,3213,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,244.38644642251467,0.0,0.0,0.0,0.0,0.0,0.0,6687.211381359877,0.0,0.0,-1.7899132468588314e-12,0.0,134.16266164033468,6687.211381359875,1.0
