Informations,Time,Biomass wheat 2,Biochar,DME-W2,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_Wheat-2,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,4059,6075.538444231871,1168.3727777368981,3338.2079363911375,5920.821614789975,526.2952546479978,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,4210.3620371839825,18.196634192725753,0.0,12201.892675031711,0.0,0.0,0.0,0.0,25473.755573655722,0.0,0.0,5053.426566881648,0.0,5053.426566881648,526.2952546479978,20420.329006774075,1.0
 ,4060,6075.538444231871,1168.3727777368981,3338.2079363911375,8167.192754027192,725.9726892468615,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5807.781513974892,217.87406879158942,0.0,12419.7667438233,135.92674290888965,0.0,0.0,0.0,22253.256676635705,0.0,0.0,0.0,5053.426566881648,0.0,725.9726892468615,27442.609986426236,1.0
 ,4061,6075.538444231871,1168.3727777368981,3338.2079363911375,0.0,0.0,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,0.0,26047.222788575324,26555.321409030596,11911.668123368028,6932.263888353372,0.0,0.0,0.0,19688.578612197758,0.0,0.0,0.0,0.0,0.0,0.0,26620.84250055113,1.0
 ,4062,6075.538444231871,1168.3727777368981,3338.2079363911375,8167.192754027192,725.9726892468615,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5807.781513974892,217.87406879158942,0.0,12129.542192159617,18304.80137839714,0.0,0.0,0.0,20109.978381218574,0.0,11224.841101533559,0.0,0.0,0.0,725.9726892468615,27189.938658082156,1.0
 ,4063,6075.538444231871,1168.3727777368981,3338.2079363911375,8167.192754027192,725.9726892468615,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5807.781513974892,217.87406879158942,0.0,12347.416260951206,25780.772238386067,0.0,0.0,0.0,24695.142755398716,0.0,23285.976335702628,0.0,0.0,0.0,725.9726892468615,27189.938658082156,1.0
 ,4064,6075.538444231871,1168.3727777368981,3338.2079363911375,8167.192754027192,725.9726892468615,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5807.781513974892,217.87406879158942,0.0,12565.290329742795,28680.542753775717,0.0,0.0,0.0,25526.779385651716,0.0,27017.383481345278,0.0,0.0,0.0,725.9726892468615,27189.938658082156,1.0
 ,4065,6075.538444231871,1168.3727777368981,3338.2079363911375,8167.192754027192,725.9726892468615,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5807.781513974892,217.87406879159607,0.0,12783.16439853439,27638.43772480756,0.0,0.0,0.0,25484.918481444354,0.0,25933.417548169753,0.0,0.0,0.0,725.9726892468615,27189.938658082163,1.0
 ,4066,6075.538444231871,1168.3727777368981,3338.2079363911375,8167.192754027192,725.9726892468615,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5807.781513974892,217.87406879158942,0.0,13001.03846732598,31580.31326916536,0.0,0.0,0.0,26163.06512960368,0.0,30553.439740686885,0.0,0.0,0.0,725.9726892468615,27189.938658082156,1.0
 ,4067,6075.538444231871,1168.3727777368981,3338.2079363911375,8167.192754027192,725.9726892468615,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5807.781513974892,217.87406879158942,0.0,13218.912536117568,32531.80046952759,0.0,0.0,0.0,24497.00114215052,0.0,29838.86295359595,0.0,0.0,0.0,725.9726892468615,27189.938658082156,1.0
 ,4068,6075.538444231871,1168.3727777368981,3338.2079363911375,8167.192754027192,725.9726892468615,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5807.781513974892,217.87406879158942,0.0,13436.786604909157,26686.950524445332,0.0,0.0,0.0,24639.328216455564,0.0,24136.34008281874,0.0,0.0,0.0,725.9726892468615,27189.938658082156,1.0
