Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,4434,60025.98667092892,121552.62300863105,10804.677600767205,10804.677600767205,0.0,0.0,0.0,86437.42080613764,0.0,0.0,35144.76074251048,0.0,252386.70066959676,428477.21012777404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235647.41603492407,0.0,0.0,0.0,10804.677600767205,445216.49476244673,1.0
 ,4435,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,611.0483100193378,0.0,35755.80905252982,0.0,144507.6934251369,455997.0432810386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131537.9398488584,0.0,0.0,0.0,11415.725910786543,468966.7968573171,1.0
 ,4436,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,611.0483100193378,0.0,36366.857362549155,0.0,22579.32709767764,467017.76379024336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20630.29403060391,0.0,0.0,0.0,11415.725910786543,468966.7968573171,1.0
 ,4437,60025.98667092892,121552.62300863105,10804.677600767205,10804.677600767205,0.0,0.0,0.0,86437.42080613764,0.0,0.0,36366.857362549155,0.0,0.0,477931.9849207352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32715.49015828845,0.0,0.0,0.0,10804.677600767205,445216.49476244673,1.0
 ,4438,60025.98667092892,0.0,0.0,10804.677600767205,0.0,0.0,0.0,0.0,0.0,10804.677600767205,25562.17976178195,0.0,0.0,480887.4103462514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445472.0782104033,0.0,0.0,0.0,0.0,35415.33213584806,1.0
 ,4439,60025.98667092892,121552.62300863105,10804.677600767205,10804.677600767205,0.0,0.0,0.0,86437.42080613764,0.0,0.0,25562.17976178195,0.0,0.0,480006.87885925715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34790.38409681042,0.0,0.0,0.0,10804.677600767205,445216.49476244673,1.0
 ,4440,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,12053.712885419187,11442.66457539985,26173.228071801288,0.0,0.0,479722.9015581929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11415.725910786543,479722.9015581929,1.0
 ,4441,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,9693.364158345876,9082.315848326538,26784.276381820626,0.0,0.0,477504.173754744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11415.725910786543,477504.173754744,1.0
 ,4442,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,2727.3985215148796,2116.3502114955418,27395.32469183996,0.0,0.0,470956.16605612286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11415.725910786543,470956.16605612286,1.0
 ,4443,60025.98667092892,108635.36546473273,9656.476930198465,10804.677600767205,0.0,0.0,0.0,77251.81544158772,0.0,1148.20067056874,26247.124021271222,0.0,0.0,455853.7045454243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51606.00794418335,0.0,51606.00794418335,9656.476930198465,404247.6966012409,1.0
