Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,6176,65316.85849917311,132266.63846082555,11757.03452985116,11757.03452985116,0.0,66732.92799143518,0.0,94056.27623880928,0.0,569802.3500338591,0.0,0.0,0.0,0.0,0.0,47811.81313000902,1.1686468427108563e7,11757.03452985116,617614.1631638681,1.0
 ,6177,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,501754.49733538204,0.0,0.0,0.0,0.0,0.0,119441.13175998442,1.1567027295348579e7,11757.034529851162,621195.629095367,1.0
 ,6178,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,451027.916232881,0.0,0.0,0.0,0.0,0.0,172837.53292051516,1.1394189762428064e7,11757.034529851211,623865.4491533961,1.0
 ,6179,38391.25852635489,77742.29851586865,6910.42653474388,6910.42653474388,0.0,39223.58101120626,0.0,55283.41227795104,0.0,361609.6635133946,0.0,0.0,0.0,0.0,0.0,0.0,1.1394189762428064e7,6910.42653474388,361609.6635133946,1.0
 ,6180,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,439442.9099057022,0.0,0.0,0.0,0.0,0.0,185032.27642280608,1.1209157486005258e7,11757.034529851167,624475.1863285083,1.0
 ,6181,57998.86241446521,117447.69638929205,10439.795234603738,10439.795234603738,0.0,59256.27775161081,0.0,83518.3618768299,0.0,546294.9100107489,0.0,0.0,0.0,0.0,0.0,0.0,1.1209157486005258e7,10439.795234603742,546294.9100107489,1.0
 ,6182,57401.79774064944,116238.64042481512,10332.3235933169,10332.3235933169,0.0,58646.268715666716,0.0,82658.5887465352,0.0,540671.1205315359,0.0,0.0,0.0,0.0,0.0,0.0,1.1209157486005258e7,10332.323593316902,540671.1205315359,1.0
 ,6183,47096.461470589005,95370.33447794274,8477.363064706022,8477.363064706022,0.0,48117.512755271375,0.0,67818.90451764817,0.0,443604.5141203198,0.0,0.0,0.0,0.0,0.0,0.0,1.1209157486005258e7,8477.363064706024,443604.51412031986,1.0
 ,6184,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,321680.7582109824,0.0,0.0,0.0,0.0,0.0,308992.43610145897,1.0900165049903799e7,11757.034529851162,630673.1943124407,1.0
 ,6185,23058.63770276556,46693.741348100266,4150.554786497802,4150.554786497802,0.0,23558.548968161518,0.0,33204.43829198241,0.0,217190.74968720527,0.0,0.0,0.0,0.0,0.0,0.0,1.0900165049903799e7,4150.5547864978025,217190.7496872053,1.0
