Informations,Time,NH3-SOEC,H2O wwtp,H2_from_AEC_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_tank,H2_from_tank,H2_stored_tank,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,32,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511147434,0.0,84956.67198681989,0.0,855517.9884379065,0.0,0.0,0.0,44010.8016626403,0.0,0.0,0.0,16174.249724707211,811507.1867752662,1.0
 ,33,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,88005.18043793457,0.0,855889.3876080553,0.0,0.0,0.0,0.0,42268.76269789445,0.0,42268.76269789445,16174.249724707211,813620.6249101608,1.0
 ,34,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,91053.68888904926,0.0,856353.6365707414,0.0,0.0,0.0,0.0,42710.904567119374,0.0,84979.66726501382,16174.249724707211,813642.732003622,1.0
 ,35,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,94102.19734016394,0.0,827941.6000543534,0.0,0.0,0.0,16434.413279087283,0.0,0.0,84979.66726501382,16174.249724707211,811507.1867752661,1.0
 ,36,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,97150.70579127863,0.0,839362.1245364309,0.0,0.0,0.0,27854.937761164852,0.0,0.0,84979.66726501382,16174.249724707211,811507.1867752661,1.0
 ,37,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.508451114685,0.0,100199.21424239331,0.0,839733.5237065797,0.0,0.0,0.0,28226.33693131362,0.0,0.0,84979.66726501382,16174.249724707211,811507.1867752661,1.0
 ,38,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,16564.15376207631,13515.645310961618,103247.72269350805,0.0,813178.4830409361,0.0,0.0,0.0,0.0,0.0,48035.22349757433,36944.4437674395,16174.249724707208,861213.7065385103,1.0
 ,39,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,106296.23114462274,0.0,796744.0697618488,0.0,0.0,0.0,0.0,0.0,15540.123172018211,21404.32059542129,16174.249724707211,812284.192933867,1.0
 ,40,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,109344.73959573742,0.0,791173.0822096159,0.0,0.0,0.0,0.0,0.0,21404.32059542129,0.0,16174.249724707211,812577.4028050371,1.0
 ,41,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,4666.74769247759,1618.2392413628995,112393.24804685211,0.0,817171.0241200363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16174.249724707211,817171.0241200362,1.0
