Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,2029,51167.59013829795,103614.37003005324,9210.16622489362,9210.166224893632,0.0,0.0,0.0,73681.32979914897,-1.0913936421275139e-11,0.0,-2.5793269742280245e-9,0.0,0.0,0.0,0.0,379513.2140301392,0.0,1.1087173507327125e-10,0.0,0.0,9210.16622489362,379513.21403013915,1.0
 ,2030,51167.59013829795,103614.37003005324,9210.16622489362,9210.166224893632,0.0,0.0,0.0,73681.32979914897,-1.0913936421275139e-11,0.0,-2.5902409106492996e-9,0.0,0.0,0.0,0.0,379513.2140301391,0.0,0.0,0.0,0.0,9210.16622489362,379513.2140301391,1.0
 ,2031,51167.59013829795,103614.37003005324,9210.16622489362,9210.166224893632,0.0,0.0,0.0,73681.32979914897,0.0,1.0913936421275139e-11,-2.6011548470705748e-9,0.0,0.0,0.0,0.0,379513.2140301392,0.0,6.127122201417621e-11,0.0,6.127122201417621e-11,9210.16622489362,379513.21403013915,1.0
 ,2032,51167.590138298045,103614.37003005324,9210.16622489362,9210.166224893648,0.0,0.0,0.0,73681.32979914897,0.0,2.7284841053187847e-11,-2.6284396881237626e-9,0.0,0.0,0.0,0.0,379513.21403013915,0.0,0.0,6.127122201417621e-11,0.0,9210.16622489362,379513.2140301392,1.0
 ,2033,51167.59013829795,103614.37003005324,9210.16622489362,9210.166224893632,0.0,0.0,0.0,73681.32979914897,-1.0913936421275139e-11,0.0,-2.6393536245450377e-9,0.0,0.0,0.0,0.0,379513.2140301391,0.0,0.0,0.0,0.0,9210.16622489362,379513.2140301391,1.0
 ,2034,51167.59013829795,103614.37003005325,9210.166224893623,9210.166224893632,0.0,0.0,0.0,73681.32979914898,-7.275957614183426e-12,0.0,-2.646629582159221e-9,0.0,0.0,0.0,0.0,379513.2140301392,0.0,0.0,0.0,0.0,9210.166224893623,379513.21403013915,1.0
 ,2035,10233.518027659591,20722.874006010672,1842.0332449787265,1842.0332449787265,0.0,0.0,0.0,14736.265959829812,0.0,0.0,-2.646629582159221e-9,0.0,0.0,0.0,0.0,75902.64280602793,0.0,0.0,0.0,0.0,1842.0332449787265,75902.64280602793,1.0
 ,2036,10233.518027659591,20722.874006045604,1842.0332449818316,1842.0332449787265,0.0,0.0,0.0,14736.265959854652,0.0,-3.105014911852777e-9,4.5838532969355583e-10,0.0,0.0,0.0,0.0,75902.64280614568,0.0,0.0,0.0,0.0,1842.0332449818316,75902.64280614568,1.0
 ,2037,51167.59013829795,103614.37003005324,9210.16622489362,9210.166224893632,0.0,0.0,0.0,73681.32979914897,-1.0913936421275139e-11,0.0,4.474713932722807e-10,0.0,0.0,0.0,0.0,379513.21403013915,0.0,0.0,0.0,0.0,9210.16622489362,379513.2140301391,1.0
 ,2038,51167.59013829795,103614.37003005324,9210.16622489362,9210.166224893632,0.0,0.0,0.0,73681.32979914897,-1.0913936421275139e-11,0.0,4.3655745685100555e-10,0.0,0.0,0.0,0.0,379513.2140301391,0.0,0.0,0.0,0.0,9210.16622489362,379513.2140301391,1.0
