Informations,Time,NH3-SOEC,H2O wwtp,H2_from_AEC_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,CSP_tower,Charge_TES,Discharge_TES,TES,CSP + TES,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,43,56703.885878318484,25550.24093298971,2271.132527376863,10206.699458097328,0.0,9668.211169043305,0.0,18169.060219014904,0.0,7935.566930720463,69012.239446169,0.0,139864.94886496197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211296.58527289206,2271.132527376863,139864.94886496197,1.0
 ,44,56703.885878318484,1449.3132288880654,128.82784256782804,10206.699458097328,0.0,548.4201258112439,0.0,1030.6227405426243,0.0,10077.871615529499,58934.3678306395,0.0,39491.27967951867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211296.58527289206,128.82784256782804,39491.27967951867,1.0
 ,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58934.3678306395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211296.58527289206,0.0,0.0,1.0
 ,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58934.3678306395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211296.58527289206,0.0,0.0,1.0
 ,47,56703.885878318484,0.0,0.0,10206.699458097328,0.0,0.0,0.0,0.0,0.0,10206.699458097326,48727.66837254217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35216.09754548201,176080.48772741004,0.0,35216.09754548201,1.0
 ,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48727.66837254217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176080.48772741004,0.0,0.0,1.0
 ,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48727.66837254217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176080.48772741004,0.0,0.0,1.0
 ,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48727.66837254217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176080.48772741004,0.0,0.0,1.0
 ,51,56703.885878318484,0.0,0.0,10206.699458097328,0.0,0.0,0.0,0.0,0.0,10206.699458097326,38520.96891444484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35216.09754548201,140864.39018192803,0.0,35216.09754548201,1.0
 ,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38520.96891444484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140864.39018192803,0.0,0.0,1.0
 ,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38520.96891444484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140864.39018192803,0.0,0.0,1.0
 ,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38520.96891444484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140864.39018192803,0.0,0.0,1.0
 ,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38520.96891444484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140864.39018192803,0.0,0.0,1.0
 ,56,36256.11834984059,0.0,0.0,6526.101302971306,0.0,0.0,0.0,0.0,0.0,6526.101302971306,31994.867611473535,0.0,21391.109826405944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140864.39018192803,0.0,21391.109826405947,1.0
 ,57,56703.885878318484,29501.212687760468,2622.3300166898193,10206.699458097328,0.0,11163.25888104856,0.0,20978.640133518555,0.0,7584.369441407509,24410.49817006603,0.0,156319.64873142808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140864.39018192803,2622.3300166898193,156319.64873142808,1.0
 ,58,43764.621433628534,88623.3584030978,7877.631858053137,7877.631858053136,0.0,33535.0788197322,0.0,63021.054864425096,0.0,0.0,24410.49817006603,0.0,394912.7967951867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140864.39018192803,7877.631858053137,394912.7967951867,1.0
 ,59,56703.885878318484,147764.61247852474,13134.632220313311,10206.699458097328,0.0,55914.12936187376,0.0,105077.05776250649,2927.932762215985,0.0,27338.43093228201,0.0,651606.1147120581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140864.39018192803,13134.632220313311,651606.114712058,1.0
 ,60,56703.885878318484,185335.26982575018,16474.24620673335,10206.699458097328,0.0,70130.86610206387,0.0,131793.9696538668,6267.546748636022,0.0,33605.97768091803,0.0,811216.7034167793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140864.39018192803,16474.24620673335,811216.7034167792,1.0
 ,61,56703.885878318484,205088.91441037392,18230.12572536657,10206.699458097328,0.0,77605.64521288549,0.0,145841.00580293257,8023.426267269244,0.0,41629.403948187275,0.0,895135.6727357566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140864.39018192803,18230.12572536657,895135.6727357565,1.0
 ,62,56703.885878318484,214772.07352048354,19090.850979598537,10206.699458097328,0.0,81269.75262015096,0.0,152726.8078367883,8884.15152150121,0.0,50513.55546968849,0.0,936272.4224019217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140864.39018192803,19090.850979598537,936272.4224019217,1.0
 ,63,56703.885878318484,207412.87259680024,18436.699786382243,10206.699458097328,0.0,78485.03099062921,0.0,147493.59829105795,8230.000328284914,0.0,58743.5557979734,0.0,905008.4926556363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140864.39018192803,18436.699786382243,905008.4926556362,1.0
 ,64,56703.885878318484,187271.90164777215,16646.391257579748,10206.699458097328,0.0,70863.68758351698,0.0,133171.13006063798,6439.691799482417,0.0,65183.24759745582,0.0,819444.0533500124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140864.39018192803,16646.391257579748,819444.0533500124,1.0
 ,65,56703.885878318484,152025.202486973,13513.351332175378,10206.699458097328,0.0,57526.33662107058,0.0,108106.81065740302,3306.651874078051,0.0,68489.89947153386,0.0,669706.2845651708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140864.39018192803,13513.351332175378,669706.2845651708,1.0
 ,66,53246.95607758139,107825.0860571023,9584.452093964648,9584.45209396465,0.0,40801.012564007506,0.0,76675.61675171719,0.0,0.0,68489.89947153386,0.0,480477.23610081046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140864.39018192803,9584.452093964648,480477.23610081035,1.0
