Informations,Time,NH3-SOEC,H2O wwtp,H2_from_AEC_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,3943,30957.89669358971,62689.74080451916,5572.421404846148,5572.421404846148,0.0,23721.79792043005,0.0,44579.371238769185,0.0,0.0,189430.6394807763,0.0,0.0,0.0,279350.5156831501,0.0,0.0,0.0,0.0,786.9453284141146,5572.421404846148,279350.5156831501,1.0
 ,3944,30328.05017160108,61414.301597492195,5459.049030888195,5459.0490308881945,0.0,23239.171724491047,0.0,43672.39224710556,0.0,0.0,189430.6394807763,0.0,0.0,0.0,273667.0562265781,0.0,0.0,0.0,0.0,786.9453284141146,5459.049030888195,273667.0562265781,1.0
 ,3945,31545.067299847327,63878.76128219084,5678.112113972519,5678.112113972519,0.0,24171.723269181013,0.0,45424.89691178015,0.0,0.0,189430.6394807763,0.0,0.0,0.0,284648.8863468786,0.0,0.0,0.0,0.0,786.9453284141146,5678.112113972519,284648.88634687854,1.0
 ,3946,32450.74709320286,65712.76286373578,5841.134476776515,5841.134476776515,0.0,24865.709467637622,0.0,46729.07581421212,0.0,0.0,189430.6394807763,0.0,0.0,0.0,292821.3445672093,0.0,0.0,0.0,0.0,786.9453284141146,5841.134476776515,292821.34456720937,1.0
 ,3947,31782.399579455527,64359.359148397445,5720.831924301995,5720.831924301995,0.0,24353.58150175359,0.0,45766.65539441596,0.0,0.0,189430.6394807763,0.0,0.0,0.0,286790.46900519065,0.0,0.0,0.0,0.0,786.9453284141146,5720.831924301995,286790.46900519065,1.0
 ,3948,31166.964147697683,63113.102399087795,5610.053546585582,5610.053546585583,0.0,23881.99794781482,0.0,44880.428372684655,0.0,0.0,189430.6394807763,0.0,0.0,0.0,281237.04892200924,0.0,0.0,0.0,0.0,786.9453284141146,5610.053546585582,281237.04892200924,1.0
 ,3949,31805.276391044023,64405.68469186414,5724.949750387924,5724.949750387925,0.0,24371.11108740139,0.0,45799.59800310339,0.0,0.0,189430.6394807763,0.0,0.0,0.0,286996.89934436016,0.0,0.0,0.0,0.0,786.9453284141146,5724.949750387924,286996.8993443601,1.0
 ,3950,35899.01653461465,72695.50848259467,6461.822976230637,6461.822976230638,0.0,27507.98040981382,0.0,51694.5838098451,0.0,0.0,189430.6394807763,0.0,0.0,0.0,323937.0193886287,0.0,0.0,0.0,0.0,786.9453284141146,6461.822976230637,323937.0193886287,1.0
 ,3951,41651.06250477604,84343.40157217148,7497.191250859688,7497.191250859688,0.0,31915.54315490969,0.0,59977.5300068775,0.0,0.0,189430.6394807763,0.0,0.0,0.0,375840.96570325317,0.0,0.0,0.0,0.0,786.9453284141146,7497.191250859688,375840.96570325317,1.0
 ,3952,47620.90774147925,96432.33817649547,8571.763393466264,8571.763393466264,0.0,36489.99676598589,0.0,68574.10714773012,0.0,0.0,189430.6394807763,0.0,0.0,0.0,429710.2373119718,0.0,0.0,0.0,0.0,786.9453284141146,8571.763393466264,429710.2373119718,1.0
 ,3953,54239.63868666774,109835.26834050215,9763.134963600192,9763.134963600194,0.0,41561.665540046015,0.0,78105.07970880154,0.0,0.0,189430.6394807763,0.0,0.0,0.0,489434.76966656424,0.0,0.0,0.0,0.0,786.9453284141146,9763.134963600192,489434.7696665642,1.0
 ,3954,59510.96620632666,120509.70656781146,10711.973917138797,10711.9739171388,0.0,45600.872965259856,0.0,85695.79133711038,0.0,0.0,189430.6394807763,0.0,0.0,0.0,537000.9229981764,0.0,0.0,0.0,0.0,786.9453284141146,10711.973917138797,537000.9229981764,1.0
 ,3955,61634.74243085097,124810.35342247321,11094.253637553174,11094.253637553176,0.0,47228.23773506386,0.0,88754.0291004254,0.0,0.0,189430.6394807763,0.0,0.0,0.0,556164.9504961857,0.0,0.0,0.0,0.0,786.9453284141146,11094.253637553174,556164.9504961856,1.0
 ,3956,62685.03760879826,126937.20115781645,11283.306769583685,11283.306769583687,0.0,48033.036918117745,0.0,90266.45415666948,0.0,0.0,189430.6394807763,0.0,0.0,0.0,565642.3546778415,0.0,0.0,0.0,0.0,786.9453284141146,11283.306769583685,565642.3546778415,1.0
 ,3957,62318.050291121945,126194.05183952196,11217.249052401952,11217.24905240195,0.0,47751.82921607511,0.0,89737.99241921562,0.0,0.0,189430.6394807763,0.0,0.0,0.0,562330.8216800821,0.0,0.0,0.0,0.0,786.9453284141146,11217.249052401952,562330.8216800821,1.0
 ,3958,70328.2396267088,123732.03449649719,10998.403066355306,12659.083132807586,0.0,46820.20185347454,0.0,87987.22453084245,0.0,1660.680066452278,187769.95941432402,0.0,0.0,0.0,556803.2150480866,0.0,0.0,0.0,0.0,786.9453284141146,10998.403066355306,556803.2150480866,1.0
 ,3959,63555.26254947992,128699.40666269684,11439.947258906386,11439.947258906386,0.0,48699.85548116448,0.0,91519.57807125109,0.0,0.0,187769.95941432402,0.0,0.0,0.0,573494.8838191414,0.0,0.0,0.0,0.0,786.9453284141146,11439.947258906386,573494.8838191414,1.0
 ,3960,61920.521670566515,125389.05638289718,11145.693900701972,11145.693900701974,0.0,47447.21893528829,0.0,89165.55120561577,0.0,0.0,187769.95941432402,0.0,0.0,0.0,558743.6973269613,0.0,0.0,0.0,0.0,786.9453284141146,11145.693900701972,558743.6973269612,1.0
