Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,CSP_tower,Charge_TES,Discharge_TES,TES,CSP + TES,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,36,56848.51696026441,245512.02440715575,21823.291058413844,10232.733052847594,0.0,123869.00004755697,0.0,174586.32846731076,11590.558005566254,0.0,57486.60349186332,1.1238906319273787e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172626.9647208695,21823.291058413844,1.1238906319273787e6,1.0
 ,37,56848.51696026441,240188.83173989403,21350.11837687947,10232.733052847594,0.0,121183.27190716784,0.0,170800.94701503575,11117.38532403187,0.0,68603.9888158952,1.0998685420846562e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172626.9647208695,21350.11837687947,1.0998685420846562e6,1.0
 ,38,56848.51696026441,226500.622024078,20133.38862436249,10232.733052847594,0.0,114277.11383188149,0.0,161067.10899489993,9900.655571514895,0.0,78504.6443874101,1.0380974539176552e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172626.9647208695,20133.38862436249,1.0380974539176552e6,1.0
 ,39,56848.51696026441,201025.34283075383,17868.919362733675,10232.733052847594,0.0,101423.98630287632,0.0,142951.3549018694,7636.18630988608,0.0,86140.83069729617,923134.5953846257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172626.9647208695,17868.919362733675,923134.5953846257,1.0
 ,40,56848.51696026441,163762.99415992136,14556.71059199301,10232.733052847594,0.0,82623.88932015232,0.0,116453.68473594409,4323.977539145415,0.0,90464.80823644159,754979.9664855674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172626.9647208695,14556.71059199301,754979.9664855674,1.0
 ,41,54650.77528239582,110667.81994685155,9837.139550831249,9837.139550831249,0.0,55835.604090518165,0.0,78697.11640664999,0.0,0.0,90464.80823644159,514759.0680583414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172626.9647208695,9837.139550831249,514759.06805834145,1.0
 ,42,56848.51696026441,60857.20407631157,5409.529251227696,10232.733052847594,0.0,30704.488029968397,0.0,43276.234009821565,0.0,4823.203801619898,85641.6044348217,295128.53235344903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172626.9647208695,5409.529251227696,295128.532353449,1.0
 ,43,56848.51696026441,27153.317776348696,2413.628246786551,10232.733052847594,0.0,13699.753928760461,0.0,19309.025974292406,0.0,7819.104806061043,77822.49962876065,145848.40261653007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172626.9647208695,2413.628246786551,145848.40261653007,1.0
 ,44,56848.51696026441,3521.8572671793017,313.05397930482684,10232.733052847594,0.0,1776.8943865341969,0.0,2504.4318344386147,0.0,9919.679073542768,67902.82055521788,41180.72544466731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172626.9647208695,313.05397930482684,41180.7254446673,1.0
 ,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67902.82055521788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172626.9647208695,0.0,0.0,1.0
