Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,7525,56037.48738095525,113475.91194643438,10086.747728571945,10086.747728571945,0.0,0.0,0.0,80693.98182857556,0.0,0.0,0.0,0.0,415633.5462475064,0.0,0.0,0.0,-1.2762453105928714e-9,10086.747728571945,415633.5462475064,1.0
 ,7526,56037.48738095524,113475.91194643435,10086.747728571943,10086.747728571943,0.0,0.0,0.0,80693.98182857555,0.0,0.0,0.0,0.0,415633.5462475064,0.0,1.1087173507327125e-10,0.0,-1.1653735755196e-9,10086.747728571943,415633.54624750634,1.0
 ,7527,56037.48738095524,113475.91194643435,10086.747728571943,10086.747728571943,0.0,0.0,0.0,80693.98182857555,0.0,0.0,0.0,0.0,415633.54624750616,0.0,-1.1087173507327127e-10,0.0,-1.2762453105928714e-9,10086.747728571943,415633.5462475063,1.0
 ,7528,56037.48738095524,113475.91194643435,10086.747728571943,10086.747728571943,0.0,0.0,0.0,80693.98182857555,0.0,0.0,0.0,0.0,415633.5462475063,0.0,0.0,0.0,-1.2762453105928714e-9,10086.747728571943,415633.5462475063,1.0
 ,7529,56037.487380954626,113475.91194643312,10086.747728571832,10086.747728571832,0.0,0.0,0.0,80693.98182857466,0.0,0.0,0.0,0.0,415633.5462475031,0.0,1.2762453105928714e-9,0.0,0.0,10086.747728571832,415633.5462475018,1.0
 ,7530,56037.487380954626,113475.91194643312,10086.747728571832,10086.747728571832,0.0,0.0,0.0,80693.98182857466,0.0,0.0,0.0,0.0,415633.54624750174,0.0,0.0,0.0,0.0,10086.747728571832,415633.54624750174,1.0
 ,7531,56037.48738095524,113475.91194643435,10086.747728571943,10086.747728571943,0.0,0.0,0.0,80693.98182857555,0.0,0.0,0.0,0.0,415633.5462475063,0.0,0.0,0.0,0.0,10086.747728571943,415633.5462475063,1.0
 ,7532,56037.48738095525,113475.91194643438,10086.747728571945,10086.747728571945,0.0,0.0,0.0,80693.98182857556,0.0,0.0,0.0,0.0,415633.5462475064,0.0,0.0,0.0,0.0,10086.747728571945,415633.5462475064,1.0
 ,7533,56037.487380954626,113475.91194643312,10086.747728571832,10086.747728571832,0.0,0.0,0.0,80693.98182857466,0.0,0.0,0.0,0.0,415633.54624750174,0.0,0.0,0.0,0.0,10086.747728571832,415633.54624750174,1.0
 ,7534,56037.487380954626,113475.91194643312,10086.747728571832,10086.747728571832,0.0,0.0,0.0,80693.98182857466,0.0,0.0,0.0,0.0,415633.54624750174,0.0,0.0,0.0,0.0,10086.747728571832,415633.54624750174,1.0
 ,7535,56037.487380954626,113475.91194643312,10086.747728571832,10086.747728571832,0.0,0.0,0.0,80693.98182857466,0.0,0.0,0.0,0.0,415633.5462475016,0.0,0.0,1.1087173507327125e-10,-1.1087173507327125e-10,10086.747728571832,415633.54624750174,1.0
 ,7536,56037.48738095525,113475.91194643438,10086.747728571945,10086.747728571945,0.0,0.0,0.0,80693.98182857556,0.0,0.0,0.0,0.0,415633.5462475064,0.0,0.0,0.0,-1.1087173507327125e-10,10086.747728571945,415633.5462475064,1.0
 ,7537,56037.48738095525,113475.91194643438,10086.747728571945,10086.747728571945,0.0,0.0,0.0,80693.98182857556,0.0,0.0,0.0,0.0,415633.5462475064,0.0,0.0,0.0,-1.1087173507327125e-10,10086.747728571945,415633.5462475064,1.0
 ,7538,56037.48738095524,113475.91194643435,10086.747728571943,10086.747728571943,0.0,0.0,0.0,80693.98182857555,0.0,0.0,0.0,0.0,415633.5462475064,0.0,1.1087173507327125e-10,0.0,0.0,10086.747728571943,415633.54624750634,1.0
 ,7539,56037.48738095525,113475.91194643438,10086.747728571945,10086.747728571945,0.0,0.0,0.0,80693.98182857556,0.0,0.0,0.0,0.0,415633.5462475064,0.0,0.0,0.0,0.0,10086.747728571945,415633.5462475064,1.0
 ,7540,56037.48738095525,113475.91194643438,10086.747728571945,10086.747728571945,0.0,0.0,0.0,80693.98182857556,0.0,0.0,0.0,0.0,415633.5462475064,0.0,0.0,0.0,0.0,10086.747728571945,415633.5462475064,1.0
 ,7541,56037.48738095524,113475.91194643435,10086.747728571943,10086.747728571943,0.0,0.0,0.0,80693.98182857555,0.0,0.0,0.0,0.0,415633.5462475064,0.0,0.0,-1.2254244402835243e-10,1.2254244402835243e-10,10086.747728571943,415633.5462475063,1.0
 ,7542,56037.48738095525,113475.91194643438,10086.747728571945,10086.747728571945,0.0,0.0,0.0,80693.98182857556,0.0,0.0,0.0,0.0,415633.5462475064,0.0,0.0,0.0,1.2254244402835243e-10,10086.747728571945,415633.5462475064,1.0
