Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,6297,61266.82981796551,127075.49891362526,11295.599903433356,11028.029367233792,0.0,64113.825051887725,0.0,90364.79922746685,267.5705361995639,0.0,109724.14494348712,136789.95447755684,453870.1991828204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77655.92746336381,11295.599903433353,590660.1536603771,1.0
 ,6298,61266.82981796551,113493.00641749865,10088.267237110991,11028.029367233792,0.0,57261.00483784198,0.0,80706.13789688793,0.0,939.762130122801,108784.38281336431,0.0,456476.38325206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77655.92746336381,0.0,10088.267237110993,534132.3107154239,1.0
 ,6299,46831.640819062166,94834.07265860088,8429.69534743119,8429.69534743119,0.0,47846.95079201943,0.0,67437.56277944952,0.0,0.0,108784.38281336431,0.0,441110.15185229783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8429.695347431192,441110.15185229783,1.0
 ,6300,61266.82981796551,90784.59076674409,8069.741401488363,11028.029367233792,0.0,45803.85219484795,0.0,64557.93121190691,0.0,2958.2879657454287,105826.09484761888,0.0,429670.15668912185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8069.741401488364,429670.15668912185,1.0
 ,6301,49921.48668712233,101091.01054142271,8985.86760368202,8985.86760368202,0.0,51003.78451849914,0.0,71886.94082945616,0.0,0.0,105826.09484761888,0.0,470213.60319892317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8985.86760368202,470213.60319892317,1.0
 ,6302,50559.32737953649,102382.63794356138,9100.678928316567,9100.678928316567,0.0,51655.453597124826,0.0,72805.43142653254,0.0,0.0,105826.09484761888,0.0,476221.4645458155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9100.67892831657,476221.46454581554,1.0
 ,6303,46540.725420567636,94244.96897664947,8377.330575702175,8377.330575702175,0.0,47549.728347685545,0.0,67018.6446056174,0.0,0.0,105826.09484761888,0.0,438370.00153166545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8377.330575702177,438370.00153166545,1.0
 ,6304,61266.82981796551,76299.50635639757,6782.178342790896,11028.029367233792,0.0,38495.64427368112,0.0,54257.42674232717,0.0,4245.851024442896,101580.24382317599,0.0,365513.3036549621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6782.178342790897,365513.3036549621,1.0
 ,6305,34034.4110711662,68919.68241911156,6126.193992809916,6126.193992809916,0.0,34772.27710318908,0.0,49009.55194247933,0.0,0.0,101580.24382317599,0.0,320572.2450300064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6126.193992809917,320572.2450300064,1.0
 ,6306,61266.82981796551,64143.92278677288,5701.682025490923,11028.029367233792,0.0,32362.747176686473,0.0,45613.45620392738,0.0,5326.34734174287,96253.89648143311,0.0,311674.19809449936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5701.6820254909235,311674.1980944994,1.0
 ,6307,35712.68788150432,72318.19296004623,6428.283818670777,6428.283818670777,0.0,36486.93895477532,0.0,51426.270549366214,0.0,0.0,96253.89648143311,0.0,336380.03919888183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6428.283818670779,336380.03919888183,1.0
 ,6308,61266.82981796551,61412.36735792944,5458.877098482617,11028.029367233792,0.0,30984.58641098733,0.0,43671.016787860935,0.0,5569.152268751175,90684.74421268192,0.0,299575.68384091364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5458.877098482618,299575.6838409137,1.0
 ,6309,29443.840783919906,59623.77758743781,5299.891341105584,5299.891341105584,0.0,30082.18325211529,0.0,42399.13072884467,0.0,0.0,90684.74421268192,0.0,277333.37658379064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5299.891341105585,277333.37658379064,1.0
 ,6310,61266.82981796551,44573.885715163065,3962.1231746811613,11028.029367233792,0.0,22489.01113949027,0.0,31696.98539744929,0.0,7065.906192552631,83618.83802012929,21531.7520936895,203463.49013780474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3962.123174681162,224995.24223149425,1.0
 ,6311,40393.7133875344,81797.26960975716,7270.868409756193,7270.868409756193,0.0,41269.449093776144,0.0,58166.94727804954,0.0,0.0,83618.83802012929,205184.93171633524,175285.979287938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7270.868409756192,380470.9110042732,1.0
 ,6312,61266.82981796551,153388.24004710926,13634.510226409713,11028.029367233792,0.0,77389.48004510152,0.0,109076.0818112777,2606.480859175921,0.0,86225.31887930521,529427.7867742477,179974.45852678388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13634.510226409717,709402.2453010315,1.0
