Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_tank,H2_from_tank,H2_stored_tank,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,4382,73445.51259992008,148727.1630148382,13220.19226798562,13220.192267985616,0.0,75037.81131308636,0.0,105761.53814388496,0.0,0.0,96349.41352846047,0.0,617785.5012744793,0.0,0.0,0.0,0.0,0.0,77897.23394600587,321096.88481746125,13220.19226798562,695682.7352204853,1.0
 ,4383,73445.51259992008,95104.71732292033,8453.752650926252,13220.192267985616,0.0,47983.5000466574,0.0,67630.02120741001,0.0,4766.439617059363,91582.9739114011,0.0,454285.12447939866,0.0,0.0,0.0,0.0,0.0,0.0,321096.88481746125,8453.752650926252,454285.1244793986,1.0
 ,4384,65266.721869723435,132165.11178618995,11748.009936550217,11748.00993655022,0.0,66681.70439985902,0.0,93984.07949240174,0.0,0.0,91582.9739114011,0.0,309709.2918844537,0.0,0.0,0.0,0.0,0.0,321096.88481746125,0.0,11748.00993655022,630806.176701915,1.0
 ,4385,18806.69321467622,38083.55375971933,3385.204778641719,3385.2047786417197,0.0,19214.422323570394,0.0,27081.63822913375,0.0,0.0,91582.9739114011,0.0,177141.41880736122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3385.2047786417197,177141.41880736122,1.0
 ,4386,14689.102519984017,18244.48146513052,1621.7316857893798,2644.038453597123,0.0,9204.949048540519,0.0,12973.853486315038,0.0,1022.3067678077432,90560.66714359337,0.0,87417.94528996675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1621.73168578938,87417.94528996675,1.0
 ,4387,14689.102519984017,7508.484545312002,667.420848472178,2644.038453597123,0.0,3788.280735928082,0.0,5339.366787777424,0.0,1976.6176051249495,88584.04953846842,0.0,39866.42559927056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667.4208484721781,39866.42559927056,1.0
 ,4388,14689.102519984017,12561.994206559915,1116.6217072497702,2644.038453597123,0.0,6337.944810349695,0.0,8932.973657998162,0.0,1527.4167463473568,87056.63279212106,0.0,62249.262140547755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1116.62170724977,62249.26214054775,1.0
 ,4389,14689.102519984017,20651.947441089822,1835.7286614302066,2644.038453597123,0.0,10419.59588227785,0.0,14685.829291441652,0.0,808.3097921669164,86248.32299995415,0.0,98081.01334181984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1835.728661430207,98081.01334181984,1.0
 ,4390,73445.51259992008,40752.37736117242,3622.433543215326,13220.192267985616,0.0,20560.93279129019,0.0,28979.46834572261,0.0,9597.75872477029,76650.56427518386,0.0,213549.55206549022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3622.433543215326,213549.55206549022,1.0
 ,4391,38480.28931614608,77922.58586519581,6926.452076906295,6926.452076906295,0.0,39314.541988520126,0.0,55411.61661525036,0.0,0.0,76650.56427518386,0.0,362448.2500868622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6926.452076906295,362448.2500868622,1.0
