Informations,Time,NH3-SOEC,H2O wwtp,H2_from_AEC_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,3802,31332.900087901642,63449.12267800083,5639.922015822296,5639.922015822296,0.0,24009.14802135551,0.0,45119.37612657837,0.0,282734.38224943593,0.0,0.0,0.0,0.0,0.0,0.0,9.241806650773788e6,5639.922015822296,282734.382249436,1.0
 ,3803,18469.794214348734,37401.333284056185,3324.5629585827724,3324.5629585827724,0.0,14152.664514686861,0.0,26596.50366866218,0.0,166663.3424553142,0.0,0.0,0.0,0.0,0.0,0.0,9.241806650773788e6,3324.5629585827733,166663.34245531424,1.0
 ,3804,22845.162940854643,46261.45495523065,4112.129329353836,4112.129329353836,0.0,17505.33455505928,0.0,32897.034634830685,0.0,206144.75561948572,0.0,0.0,0.0,0.0,0.0,0.0,9.241806650773788e6,4112.1293293538365,206144.7556194857,1.0
 ,3805,65287.997290297426,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,212509.24571972105,0.0,0.0,0.0,0.0,0.0,396443.2403464336,8.845363410427354e6,11751.839512253537,608952.4860661511,1.0
 ,3806,17585.156821557925,35609.9425636548,3165.3282278804263,3165.3282278804263,0.0,13474.802266086974,0.0,25322.62582304341,0.0,158680.76165162926,0.0,0.0,0.0,0.0,0.0,0.0,8.845363410427354e6,3165.328227880426,158680.76165162923,1.0
 ,3807,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,104960.15029710079,0.0,0.0,0.0,0.0,0.0,13543.067908031866,8.831820342519322e6,2350.367902449974,118503.21820513313,1.0
 ,3808,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,85758.80728283159,0.0,0.0,0.0,0.0,0.0,33755.00792308897,8.798065334596233e6,2350.3679024507073,119513.81520592033,1.0
 ,3809,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,45306.53969659028,0.0,0.0,0.0,0.0,0.0,76336.3422243949,8.721728992371839e6,2350.3679024507132,121642.8819209859,1.0
 ,3810,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,10032.162361387846,0.0,0.0,0.0,0.0,0.0,113467.26573513479,8.608261726636704e6,2350.3679024507073,123499.42809652262,1.0
 ,3811,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,9277.053366444674,0.0,0.0,0.0,0.0,0.0,114262.11730875917,8.493999609327944e6,2350.3679024507073,123539.17067520384,1.0
 ,3812,65287.997290297426,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,6580.2355273619205,0.0,0.0,0.0,0.0,0.0,613210.6194962813,7.880788989831663e6,11751.839512253537,619790.8550236435,1.0
 ,3813,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,7119.5990951784715,0.0,0.0,0.0,0.0,0.0,116533.12180482886,7.764255868026834e6,2350.3679024507073,123652.72090000732,1.0
 ,3814,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,9277.053366444674,0.0,0.0,0.0,0.0,0.0,114262.11730875826,7.649993750718076e6,2350.3679024506887,123539.17067520293,1.0
 ,3815,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,5825.12653241875,0.0,0.0,0.0,0.0,0.0,117895.72450247066,7.532098026215605e6,2350.3679024507073,123720.85103488942,1.0
 ,3816,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,55662.32019866805,0.0,0.0,0.0,0.0,0.0,65435.52064326126,7.466662505572344e6,2350.3679024507073,121097.84084192895,1.0
 ,3817,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,109382.93155319651,0.0,0.0,0.0,0.0,0.0,8887.50869112555,7.457774996881219e6,2350.3679024507096,118270.44024432226,1.0
 ,3818,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,107225.4772819303,0.0,0.0,0.0,0.0,0.0,11158.513187195349,7.446616483694023e6,2350.3679024507073,118383.99046912565,1.0
 ,3819,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,116610.4033619383,0.0,0.0,0.0,0.0,0.0,1279.6436292929575,7.4453368400647305e6,2350.3679024507073,117890.04699123053,1.0
 ,3820,65287.997290297426,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,111971.87667871595,0.0,0.0,0.0,0.0,0.0,502272.04986327735,6.9430647902014535e6,11751.839512253537,614243.9265419933,1.0
 ,3821,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,100105.87818675183,0.0,0.0,0.0,0.0,0.0,18652.82802422531,6.924411962177228e6,2350.3679024507073,118758.70621097715,1.0
 ,3822,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,86406.04356421145,0.0,0.0,0.0,0.0,0.0,33073.70657426784,6.8913382556029605e6,2350.367902450708,119479.75013847928,1.0
 ,3823,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,22761.142561858447,0.0,0.0,0.0,0.0,0.0,100068.33920832351,6.791269916394637e6,2350.3679024507073,122829.48177018206,1.0
 ,3824,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,6795.980954488541,0.0,0.0,0.0,0.0,0.0,116873.7724792385,6.674396143915398e6,2350.3679024506905,123669.75343372702,1.0
 ,3825,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,32469.68678255636,0.0,0.0,0.0,0.0,0.0,89848.8189760102,6.584547324939388e6,2350.3679024507073,122318.5057585664,1.0
 ,3826,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,94388.6243678964,0.0,0.0,0.0,0.0,0.0,24670.989938809536,6.559876335000578e6,2350.3679024507073,119059.61430670637,1.0
 ,3827,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,107117.604568367,0.0,0.0,0.0,0.0,0.0,11272.063411998563,6.54860427158858e6,2350.3679024507073,118389.66798036582,1.0
 ,3828,14979.062880633632,30332.602333283103,2696.231318514054,2696.231318514054,0.0,11477.856722914326,0.0,21569.85054811243,0.0,135164.51009482762,0.0,0.0,0.0,0.0,0.0,0.0,6.54860427158858e6,2696.2313185140542,135164.51009482762,1.0
 ,3829,65287.997290297426,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,110461.65868882962,0.0,0.0,0.0,0.0,0.0,503861.7530105263,6.044742518578053e6,11751.839512253546,614323.4116993562,1.0
 ,3830,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,78207.71733339987,0.0,0.0,0.0,0.0,0.0,41703.523659332655,6.003038994918721e6,2350.3679024507073,119911.24099273252,1.0
 ,3831,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,42393.9764303809,0.0,0.0,0.0,0.0,0.0,79402.19829408918,5.923636796624632e6,2350.3679024507096,121796.17472447045,1.0
 ,3832,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,54799.338490161565,0.0,0.0,0.0,0.0,0.0,66343.9224416882,5.857292874182943e6,2350.367902450696,121143.26093184976,1.0
 ,3833,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,88563.49783547765,0.0,0.0,0.0,0.0,0.0,30802.702078198083,5.826490172104745e6,2350.3679024507073,119366.1999136758,1.0
 ,3834,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,117041.89421619153,0.0,0.0,0.0,0.0,0.0,825.4427300784737,5.825664729374667e6,2350.3679024507073,117867.3369462698,1.0
 ,3835,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,98919.27833755543,0.0,0.0,0.0,0.0,0.0,19901.88049706351,5.805762848877603e6,2350.3679024507073,118821.15883461905,1.0
 ,3836,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,65910.22798718252,0.0,0.0,0.0,0.0,0.0,54648.24928693008,5.751114599590673e6,2350.3679024507114,120558.47727411258,1.0
 ,3837,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,42501.8491439442,0.0,0.0,0.0,0.0,0.0,79288.64806928486,5.671825951521388e6,2350.3679024507073,121790.49721323013,1.0
 ,3838,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,11973.87120552743,0.0,0.0,0.0,0.0,0.0,111423.3616886735,5.560402589832715e6,2350.367902450721,123397.2328942002,1.0
 ,3839,65287.99729029742,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,19309.215727832518,0.0,0.0,0.0,0.0,0.0,599811.6929694703,4.9605908968632445e6,11751.839512253537,619120.9086973029,1.0
 ,3840,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,10355.780502077776,0.0,0.0,0.0,0.0,0.0,113126.61506072432,4.84746428180252e6,2350.3679024507073,123482.3955628021,1.0
 ,3841,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,7766.8353765583315,0.0,0.0,0.0,0.0,0.0,115851.82045600843,4.731612461346512e6,2350.3679024507073,123618.6558325663,1.0
 ,3842,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,7658.962662995023,0.0,0.0,0.0,0.0,0.0,115965.37068081088,4.615647090665701e6,2350.3679024507073,123624.33334380643,1.0
 ,3843,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,7658.962662995023,0.0,0.0,0.0,0.0,0.0,115965.37068081246,4.499681719984888e6,2350.367902450728,123624.33334380746,1.0
 ,3844,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,3020.4359797726847,0.0,0.0,0.0,0.0,0.0,120848.03034736123,4.378833689637527e6,2350.3679024506896,123868.46632713312,1.0
 ,3845,65287.997290297426,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620137.1832092941,3.758696506428233e6,11751.839512253537,620137.1832092941,1.0
 ,3846,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124027.43664185889,3.634669069786374e6,2350.3679024507073,124027.43664185883,1.0
 ,3847,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124027.43664185889,3.510641633144515e6,2350.3679024506996,124027.43664185847,1.0
 ,3848,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124027.43664185842,3.3866141965026567e6,2350.3679024507073,124027.4366418588,1.0
