Informations,Time,NH3-SOEC,H2O wwtp,H2_from_AEC_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,6792,16943.839099049066,34311.274175574355,3049.891037828832,3049.891037828832,0.0,12983.386148037336,0.0,24399.128302630656,0.0,0.0,19712.70815759383,0.0,0.0,0.0,0.0,152893.79110021293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55618.77803895762,3049.8910378288315,152893.7911002129,1.0
 ,6793,16850.038317527396,34121.32759299297,3033.0068971549313,3033.0068971549313,0.0,12911.51036118854,0.0,24264.05517723945,0.0,0.0,19712.70815759383,0.0,0.0,0.0,0.0,152047.3738856033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55618.77803895762,3033.0068971549313,152047.3738856033,1.0
 ,6794,17665.99673480303,35773.64338797613,3179.8794122645454,3179.8794122645454,0.0,13536.746658010168,0.0,25439.035298116363,0.0,0.0,19712.70815759383,0.0,0.0,0.0,0.0,159410.22566129104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55618.77803895762,3179.8794122645454,159410.22566129104,1.0
 ,6795,25104.14619728507,50835.89604950227,4518.746315511313,4518.746315511313,0.0,19236.30306513166,0.0,36149.9705240905,0.0,0.0,19712.70815759383,0.0,0.0,0.0,0.0,226528.83222033916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55618.77803895762,4518.746315511313,226528.83222033913,1.0
 ,6796,61442.22288073098,76882.37835459411,6833.9891870750325,11059.600118531576,0.0,29092.29196937841,0.0,54671.91349660026,0.0,4225.610931456544,15487.097226137283,0.0,0.0,0.0,0.0,356444.66113030614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55618.77803895762,6833.989187075032,356444.6611303061,1.0
 ,6797,40208.50896955069,81422.23066334015,7237.531614519125,7237.531614519125,0.0,30810.17208300791,0.0,57900.252916153,0.0,0.0,15487.097226137283,0.0,0.0,0.0,0.0,362823.9937185513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55618.77803895762,7237.531614519126,362823.9937185513,1.0
 ,6798,27254.33518292481,55190.028745422744,4905.780332926466,4905.780332926466,0.0,20883.906877267964,0.0,39246.24266341173,0.0,0.0,15487.097226137283,0.0,0.0,0.0,0.0,245931.19691907094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55618.77803895762,4905.780332926465,245931.1969190709,1.0
 ,6799,24195.93011441526,48996.7584816909,4355.267420594747,4355.267420594747,0.0,18540.373409471835,0.0,34842.139364757975,0.0,0.0,15487.097226137283,0.0,0.0,0.0,0.0,218333.48763305825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55618.77803895762,4355.267420594748,218333.48763305828,1.0
 ,6800,38287.865963517026,77532.92857612198,6891.815873433065,6891.815873433065,0.0,29338.460173204552,0.0,55134.52698746452,0.0,0.0,15487.097226137283,0.0,50705.6011401104,0.0,0.0,241949.51123629845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55618.77803895762,0.0,6891.815873433066,348273.8904153665,1.0
 ,6801,53539.827120630616,108418.149919277,9637.168881713511,9637.168881713511,0.0,41025.42792945441,0.0,77097.35105370809,0.0,0.0,15487.097226137283,0.0,246942.86269534286,0.0,0.0,236177.1135668625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9637.168881713511,483119.9762622054,1.0
