Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_tank,H2_from_tank,H2_stored_tank,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,2374,71565.54909433832,155454.91158309762,13818.214362942012,12881.798836980897,0.0,0.0,0.0,110545.71490353609,936.4155259611163,0.0,113694.92987414758,0.0,569600.0899409835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13818.214362942012,569600.0899409835,1.0
 ,2375,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,116762.24199644427,0.0,686404.952865848,0.0,0.0,0.0,14222.780847657123,13621.934782992805,0.0,13621.934782992805,15949.110959277592,658560.237235198,1.0
 ,2376,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,119829.55411874095,0.0,673391.7936406618,0.0,0.0,0.0,0.0,14773.955375822261,0.0,28395.890158815066,15949.110959277592,658617.8382648395,1.0
 ,2377,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,122896.86624103764,0.0,630903.0448451741,0.0,0.0,0.0,0.0,0.0,28395.890158815066,0.0,15949.110959277592,659298.9350039891,1.0
 ,2378,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,125964.17836333433,0.0,670099.3075716387,0.0,0.0,0.0,12220.167075590347,0.0,0.0,0.0,15949.110959277592,657879.1404960484,1.0
 ,2379,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222967166,0.0,129031.49048563105,0.0,668453.0645371272,0.0,0.0,0.0,0.0,10070.403848646341,0.0,10070.403848646341,15949.110959277592,658382.6606884808,1.0
 ,2380,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,132098.80260792773,0.0,680760.691033237,0.0,0.0,0.0,22881.550537188654,0.0,0.0,10070.403848646341,15949.110959277592,657879.1404960484,1.0
 ,2381,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,135166.11473022442,0.0,687972.8033749065,0.0,0.0,0.0,0.0,28660.631313198246,0.0,38731.035161844586,15949.110959277592,659312.1720617083,1.0
 ,2382,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222967166,0.0,138233.42685252114,0.0,661554.5222972694,0.0,0.0,0.0,3675.3818012209376,0.0,0.0,38731.035161844586,15949.110959277592,657879.1404960485,1.0
 ,2383,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,141300.73897481782,0.0,704043.271092757,0.0,0.0,0.0,0.0,43965.83866353202,0.0,82696.8738253766,15949.110959277592,660077.432429225,1.0
