Informations,Time,MeOH biogas H2,Biogas,H2O wwtp,H2_from_SOEC_A,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,6430,52101.06288778051,65482.21018682795,10771.04286667432,957.4260325932728,1977.2112274405633,0.0,0.0,0.0,0.0,1019.7851948473108,128267.90740715941,0.0,41387.732215196076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,957.4260325932729,41387.732215196076,1.0
 ,6431,52101.06288778051,65482.21018682795,10867.624488945696,966.0110656840619,1977.2112274405633,0.0,0.0,0.0,0.0,1011.2001617565014,127256.70724540291,0.0,41758.84709877385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966.0110656840621,41758.84709877385,1.0
 ,6432,52101.06288778051,65482.21018682795,10111.85696833243,898.8317305184382,1977.2112274405633,0.0,0.0,0.0,0.0,1078.379496922125,126178.32774848079,0.0,38854.81040081737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,898.8317305184383,38854.81040081737,1.0
 ,6433,52101.06288778051,65482.21018682795,10784.105344698737,958.587141750999,1977.2112274405633,0.0,0.0,0.0,0.0,1018.6240856895644,125159.70366279123,0.0,41437.92478700491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,958.5871417509991,41437.92478700491,1.0
 ,6434,52101.06288778051,65482.21018682795,11391.499203727904,1012.577706998036,1977.2112274405633,0.0,0.0,0.0,0.0,964.6335204425274,124195.0701423487,0.0,43771.83569032448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.577706998036,43771.83569032448,1.0
 ,6435,52101.06288778051,65482.21018682795,12700.411552519434,1128.9254713350608,1977.2112274405633,0.0,0.0,0.0,0.0,848.2857561055025,123346.7843862432,0.0,48801.33139055593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1128.9254713350608,48801.331390555926,1.0
 ,6436,52101.06288778051,65482.21018682795,13272.238223073697,1179.754508717662,1977.2112274405633,0.0,0.0,0.0,0.0,797.4567187229013,122549.32766752031,0.0,50998.57537216069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1179.754508717662,50998.57537216069,1.0
 ,6437,52101.06288778051,65482.21018682795,13712.985566467343,1218.9320503526528,1977.2112274405633,0.0,0.0,0.0,0.0,758.2791770879105,121791.0484904324,0.0,52692.14703915077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1218.9320503526526,52692.14703915077,1.0
 ,6438,52101.06288778051,65482.21018682795,14081.089693377693,1251.6524171891283,1977.2112274405633,0.0,0.0,0.0,0.0,725.558810251435,121065.48968018097,391.86876916757103,53714.71837763622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1251.6524171891283,54106.58714680379,1.0
 ,6439,52101.06288778051,65482.21018682795,19177.251010041295,1704.6445342258928,1977.2112274405633,0.0,0.0,0.0,0.0,272.56669321467075,120792.9229869663,21160.913535048836,52527.67347103485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704.6445342258933,73688.58700608369,1.0
 ,6440,52101.06288778051,65482.21018682795,31199.883314832838,2773.3229613184744,1977.2112274405633,0.0,0.0,0.0,796.111733877911,0.0,121589.03472084421,54861.62768345995,65772.26898363048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2773.3229613184744,120633.89666709042,1.0
 ,6441,52101.06288778051,65482.21018682795,35256.321070761616,3133.8952062899216,1977.2112274405633,0.0,0.0,0.0,1156.6839788493583,0.0,122745.71869969356,80529.03206393584,88000.14546593554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31969.480875351437,0.0,0.0,0.0,3133.8952062899216,136559.69665451994,1.0
 ,6442,52101.06288778051,65482.21018682795,35256.321070761616,3133.8952062899216,1977.2112274405633,0.0,0.0,0.0,1156.6839788493583,0.0,123902.40267854292,96007.84844605491,99180.25512839023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58628.4069199252,0.0,0.0,0.0,3133.8952062899216,136559.69665451994,1.0
 ,6443,52101.06288778051,65482.21018682795,35256.321070761616,3133.8952062899216,1977.2112274405633,0.0,0.0,0.0,1156.6839788493583,0.0,125059.08665739228,92481.02952354676,82332.20434170243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38253.53721072925,0.0,0.0,0.0,3133.8952062899216,136559.69665451994,1.0
 ,6444,52101.06288778051,65482.21018682795,32983.88762823344,2931.901122509639,1977.2112274405633,0.0,0.0,0.0,954.6898950690756,0.0,126013.77655246136,74455.0661418385,53182.93057101345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2931.9011225096397,127637.99671285195,1.0
