Informations,Time,MeOH biogas H2,Biogas w H2,H2O wwtp,H2_from_SOEC_A,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,2103,3652.5263107504907,4590.6068386481575,424.7000873893734,37.75111887905541,138.6116833296254,0.0,0.0,0.0,302.0089510324433,0.0,100.86056445057,3687.5923805738494,0.0,782.7919356762906,0.0,0.0,0.0,849.118150117377,0.0,0.0,0.0,0.0,0.0,37.75111887905541,1631.9100857936673,1.0
 ,2104,3652.5263107504907,4590.6068386481575,298.8239006343924,26.562124500834877,138.6116833296254,0.0,0.0,0.0,212.496996006679,0.0,112.04955882879054,3575.542821745059,0.0,574.0474194959464,0.0,0.0,0.0,574.1834186917065,0.0,0.0,0.0,0.0,0.0,26.562124500834877,1148.2308381876528,1.0
 ,2105,3652.5263107504907,4590.6068386481575,179.8807622078313,15.989401085140562,138.6116833296254,0.0,0.0,0.0,127.9152086811245,0.0,122.62228224448485,3452.9205395005743,0.0,234.83758070288715,0.0,0.0,0.0,456.35424808070485,0.0,0.0,0.0,0.0,0.0,15.989401085140562,691.1918287835919,1.0
 ,2106,3652.5263107504907,4590.6068386481575,123.59674628886903,10.98637744789947,138.6116833296254,0.0,0.0,0.0,87.89101958319576,0.0,127.62530588172594,3325.295233618848,0.0,39.13959678381453,0.0,0.0,0.0,435.78090083116484,0.0,0.0,0.0,0.0,0.0,10.98637744789947,474.9204976149793,1.0
 ,2107,3652.5263107504907,4590.6068386481575,92.72425979860091,8.242156426542303,138.6116833296254,0.0,0.0,0.0,65.93725141233843,0.0,130.3695269030831,3194.925706715765,0.0,0.0,0.0,0.0,0.0,356.29296827612404,0.0,0.0,0.0,0.0,0.0,8.242156426542303,356.292968276124,1.0
 ,2108,3652.5263107504907,4590.6068386481575,116.08785281872082,10.318920250552962,138.6116833296254,0.0,0.0,0.0,82.5513620044237,0.0,128.29276307907244,3066.6329436366927,0.0,0.0,0.0,0.0,0.0,446.0675744559348,0.0,0.0,0.0,0.0,0.0,10.318920250552962,446.0675744559348,1.0
 ,2109,3652.5263107504907,4590.6068386481575,181.55458742718184,16.13818554908283,138.6116833296254,0.0,0.0,0.0,129.10548439266265,0.0,122.47349778054257,2944.15944585615,0.0,0.0,0.0,0.0,0.0,697.6235021889463,0.0,0.0,0.0,0.0,0.0,16.13818554908283,697.6235021889463,1.0
 ,2110,3652.5263107504907,4590.6068386481575,224.14447053677543,19.923952936602262,138.6116833296254,0.0,0.0,0.0,159.3916234928181,0.0,118.68773039302314,2825.4717154631267,0.0,0.0,0.0,0.0,0.0,861.2751280375597,0.0,0.0,0.0,0.0,0.0,19.923952936602262,861.2751280375597,1.0
 ,2111,3652.5263107504907,4590.6068386481575,210.02896642045297,18.66924145959582,138.6116833296254,0.0,0.0,0.0,149.35393167676656,0.0,119.94244187002958,2705.529273593097,0.0,0.0,0.0,0.0,0.0,807.0363034705907,0.0,0.0,0.0,0.0,0.0,18.66924145959582,807.0363034705906,1.0
 ,2112,3652.5263107504907,4590.6068386481575,1514.2528726165217,134.60025534369083,138.6116833296254,0.0,0.0,0.0,1076.8020427495267,0.0,4.011427985934574,2701.517845607162,0.0,0.0,0.0,0.0,0.0,5818.516663028986,0.0,0.0,0.0,0.0,0.0,134.60025534369083,5818.516663028986,1.0
 ,2113,3652.5263107504907,4590.6068386481575,2296.0042867413595,204.0892699325653,138.6116833296254,0.0,0.0,0.0,1632.7141594605223,65.47758660293988,0.0,2766.995432210102,0.0,0.0,0.0,0.0,0.0,8883.945403210442,0.0,0.0,0.0,-6.776333879985798e-12,6.776333879985798e-12,204.0892699325653,8883.945403210437,1.0
 ,2114,3652.5263107504907,4590.6068386481575,2296.0042867413595,204.0892699325653,138.6116833296254,0.0,0.0,0.0,1632.7141594605223,65.47758660293988,0.0,2832.473018813042,0.0,0.0,0.0,0.0,0.0,8883.945403210442,0.0,0.0,0.0,-3.934162936945397e-12,1.0710496816931195e-11,204.0892699325653,8883.945403210437,1.0
 ,2115,3652.5263107504907,4590.6068386481575,2296.004286741361,204.0892699325654,138.6116833296254,0.0,0.0,0.0,1632.7141594605232,65.47758660294,0.0,2897.950605415982,0.0,0.0,0.0,0.0,0.0,8883.945403210442,0.0,0.0,0.0,1.129388979997633e-12,9.581107836933562e-12,204.0892699325654,8883.945403210444,1.0
 ,2116,3652.5263107504907,4590.6068386481575,2296.004286741363,204.08926993256563,138.6116833296254,0.0,0.0,0.0,1632.714159460525,65.47758660294018,0.0,2963.4281920189223,0.0,0.0,0.0,0.0,0.0,8883.945403210442,0.0,0.0,0.0,1.1593065688717424e-11,-2.011957851783863e-12,204.08926993256563,8883.945403210453,1.0
 ,2117,3652.5263107504907,4590.6068386481575,2296.0042867413595,204.0892699325653,138.6116833296254,0.0,0.0,0.0,1632.7141594605223,65.47758660293988,0.0,3028.9057786218623,0.0,0.0,0.0,0.0,0.0,8883.945403210442,0.0,0.0,0.0,-3.934162936945397e-12,1.9222050851615343e-12,204.0892699325653,8883.945403210437,1.0
 ,2118,3652.5263107504907,4590.6068386481575,2296.004286741361,204.0892699325654,138.6116833296254,0.0,0.0,0.0,1632.7141594605232,65.47758660294,0.0,3094.383365224802,0.0,0.0,0.0,0.0,0.0,8883.945403210442,0.0,0.0,0.0,1.9222050851615343e-12,0.0,204.0892699325654,8883.945403210444,1.0
 ,2119,3652.5263107504907,4590.6068386481575,2296.004286741361,204.0892699325654,138.6116833296254,0.0,0.0,0.0,1632.7141594605232,65.47758660294,0.0,3159.860951827742,0.0,260.9306452254302,0.0,0.0,0.0,8883.945403210442,0.0,260.9306452254284,0.0,0.0,0.0,204.0892699325654,8883.945403210444,1.0
 ,2120,3652.5263107504907,4590.6068386481575,2296.004286741361,204.0892699325654,138.6116833296254,0.0,0.0,0.0,1632.7141594605232,65.47758660294,0.0,3225.338538430682,0.0,1343.7928229109655,0.0,0.0,0.0,8883.945403210442,0.0,1343.7928229109637,0.0,0.0,0.0,204.0892699325654,8883.945403210444,1.0
 ,2121,3652.5263107504907,4590.6068386481575,2296.004286741361,204.0892699325654,138.6116833296254,0.0,0.0,0.0,1632.7141594605232,65.47758660294,0.0,3290.816125033622,0.0,3783.4943557687375,0.0,0.0,0.0,8883.945403210442,0.0,3783.4943557687357,0.0,0.0,0.0,204.0892699325654,8883.945403210444,1.0
 ,2122,3652.5263107504907,4590.6068386481575,2296.004286741361,204.0892699325654,138.6116833296254,0.0,0.0,0.0,1632.7141594605232,65.47758660294,0.0,3356.293711636562,0.0,5792.660324004551,0.0,0.0,0.0,8883.945403210442,0.0,5792.660324004549,0.0,0.0,0.0,204.0892699325654,8883.945403210444,1.0
 ,2123,3652.5263107504907,4590.6068386481575,2296.004286741361,204.0892699325654,138.6116833296254,0.0,0.0,0.0,1632.7141594605232,65.47758660294,0.0,3421.771298239498,0.0,7593.0817760600185,0.0,0.0,0.0,8883.945403210442,0.0,7593.081776060017,0.0,0.0,0.0,204.0892699325654,8883.945403210444,1.0
 ,2124,3652.5263107504907,4590.6068386481575,2296.004286741361,204.0892699325654,138.6116833296254,0.0,0.0,0.0,1632.7141594605232,65.47758660294,0.0,3487.2488848424377,0.0,8375.873711736309,0.0,0.0,0.0,8883.945403210442,0.0,8375.873711736307,0.0,0.0,0.0,204.0892699325654,8883.945403210444,1.0
 ,2125,3652.5263107504907,4590.6068386481575,2296.004286741361,204.0892699325654,138.6116833296254,0.0,0.0,0.0,1632.7141594605232,65.47758660294,0.0,3552.7264714453777,0.0,8167.129195555965,0.0,0.0,0.0,8883.945403210442,0.0,8167.129195555964,0.0,0.0,0.0,204.0892699325654,8883.945403210444,1.0
 ,2126,3652.5263107504907,4590.6068386481575,2296.004286741361,204.0892699325654,138.6116833296254,0.0,0.0,0.0,1632.7141594605232,65.47758660294,0.0,3618.2040580483176,0.0,7058.173953347888,0.0,0.0,0.0,8467.802697481111,0.0,6642.0312476185545,0.0,0.0,0.0,204.0892699325654,8883.945403210444,1.0
 ,2127,3652.5263107504907,4590.6068386481575,2296.004286741361,204.0892699325654,138.6116833296254,0.0,0.0,0.0,1632.7141594605232,65.47758660294,0.0,3683.6816446512576,0.0,6679.824517771013,0.0,0.0,0.0,6859.341003426168,0.0,4655.220117986737,0.0,0.0,0.0,204.0892699325654,8883.945403210444,1.0
 ,2128,3652.5263107504907,4590.6068386481575,2296.004286741361,204.0892699325654,138.6116833296254,0.0,0.0,0.0,1632.7141594605232,65.47758660294,0.0,3749.1592312541975,0.0,6288.428549932868,0.0,0.0,0.0,5160.169551043707,0.0,1727.4454328983902,797.3402522549906,0.0,797.3402522549906,204.0892699325654,8923.812415823193,1.0
 ,2129,3652.5263107504907,4590.6068386481575,2171.472825359836,193.0198066986521,138.6116833296254,0.0,0.0,0.0,1544.1584535892168,54.408123369026676,0.0,3803.567354623224,0.0,5035.961452850803,0.0,0.0,0.0,3359.0665145612534,0.0,0.0,0.0,0.0,797.3402522549906,193.0198066986521,8395.027967412056,1.0
 ,2130,3652.5263107504907,4590.6068386481575,1559.3814374582857,138.6116833296254,138.6116833296254,0.0,0.0,0.0,1108.8934666370033,0.0,0.0,3803.567354623224,0.0,2113.538226325985,0.0,0.0,0.0,3276.7731255630933,0.0,0.0,0.0,633.2756016256692,164.06465062932136,138.6116833296254,6023.586953514748,1.0
 ,2131,3652.5263107504907,4590.6068386481575,1186.0968066480375,105.43082725760334,138.6116833296254,0.0,0.0,0.0,843.4466180608267,0.0,33.18085607202207,3770.386498551198,0.0,13.04653226127151,0.0,0.0,0.0,4388.669029185959,0.0,0.0,0.0,164.06465062932136,0.0,105.43082725760334,4565.780212076551,1.0
 ,2132,3652.5263107504907,4590.6068386481575,1073.2650543617588,95.40133816548966,138.6116833296254,0.0,0.0,0.0,763.2107053239173,0.0,43.21034516413576,3727.1761533870626,0.0,0.0,0.0,0.0,0.0,4124.020971385058,0.0,0.0,0.0,0.0,0.0,95.40133816548966,4124.020971385058,1.0
 ,2133,3652.5263107504907,4590.6068386481575,1449.5162502899398,128.84588891466132,138.6116833296254,0.0,0.0,0.0,1030.7671113172905,0.0,9.765794414964091,3717.4103589720985,0.0,0.0,0.0,0.0,0.0,5569.766191739094,0.0,0.0,0.0,0.0,0.0,128.84588891466132,5569.766191739094,1.0
 ,2134,3652.5263107504907,4590.6068386481575,1576.9048511945273,140.1693201061802,138.6116833296254,0.0,0.0,0.0,1121.3545608494417,1.5576367765548167,0.0,3718.9679957486533,0.0,0.0,0.0,0.0,0.0,6060.721069284934,0.0,0.0,0.0,0.0,0.0,140.1693201061802,6060.721069284933,1.0
 ,2135,3652.5263107504907,4590.6068386481575,1370.9074946076612,121.85844396512545,138.6116833296254,0.0,0.0,0.0,974.8675517210036,0.0,16.75323936449996,3702.214756384153,0.0,0.0,0.0,0.0,0.0,5267.712048029939,0.0,0.0,0.0,0.0,0.0,121.85844396512545,5267.712048029939,1.0
 ,2136,3652.5263107504907,4590.6068386481575,1052.3351689479011,93.5409039064801,138.6116833296254,0.0,0.0,0.0,748.3272312518408,0.0,45.07077942314531,3657.143976961008,0.0,0.0,0.0,0.0,0.0,4043.5978866823107,0.0,0.0,0.0,0.0,0.0,93.5409039064801,4043.59788668231,1.0
 ,2137,3652.5263107504907,4590.6068386481575,646.8794817445701,57.50039837729512,138.6116833296254,0.0,0.0,0.0,460.00318701836096,0.0,81.1112849523303,3576.0326920086777,0.0,0.0,0.0,0.0,0.0,2485.634408603511,0.0,0.0,0.0,0.0,0.0,57.50039837729512,2485.6344086035106,1.0
 ,2138,3652.5263107504907,4590.6068386481575,697.0138584335774,61.956787416317994,138.6116833296254,0.0,0.0,0.0,495.65429933054395,0.0,76.65489591330741,3499.3777960953703,0.0,0.0,0.0,0.0,0.0,2678.2757510310216,0.0,0.0,0.0,0.0,0.0,61.956787416317994,2678.2757510310216,1.0
 ,2139,3652.5263107504907,4590.6068386481575,916.5342845184541,81.46971417941815,138.6116833296254,0.0,0.0,0.0,651.7577134353452,0.0,57.14196915020726,3442.235826945163,0.0,0.0,0.0,0.0,0.0,3521.7829882621604,0.0,0.0,0.0,0.0,0.0,81.46971417941815,3521.7829882621604,1.0
