Informations,Time,CO2 DAC,MeOH,H2O sea,H2_from_SOEC_A,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24770.13212184534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364044.09240161174,0.0,0.0,1.0
 ,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24770.13212184534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364044.09240161174,0.0,0.0,1.0
 ,48,20282.570832513138,14804.79622811178,0.0,0.0,2814.6000433672584,0.0,10067.261435116012,0.0,0.0,0.0,2814.6000433672584,21955.53207847808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36527.328293759165,327516.7641078526,0.0,36527.32829375916,1.0
 ,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21955.53207847808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327516.7641078526,0.0,0.0,1.0
 ,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21955.53207847808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327516.7641078526,0.0,0.0,1.0
 ,51,20282.570832513138,14804.79622811178,0.0,0.0,2814.6000433672584,0.0,10067.261435116012,0.0,0.0,0.0,2814.6000433672584,19140.93203511082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36527.328293759165,290989.43581409345,0.0,36527.32829375916,1.0
 ,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19140.93203511082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290989.43581409345,0.0,0.0,1.0
 ,53,20282.570832513138,14804.796228111778,0.0,0.0,2814.6000433672584,0.0,10067.26143511601,0.0,0.0,0.0,2814.6000433672584,16326.331991743562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36527.32829375916,254462.1075203343,0.0,36527.32829375916,1.0
 ,54,20282.570832513138,14804.796228111778,0.0,0.0,2814.6000433672584,0.0,10067.26143511601,0.0,0.0,0.0,2814.6000433672584,13511.731948376302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36527.32829375916,217934.77922657516,0.0,36527.32829375916,1.0
 ,55,20282.570832513138,14804.79622811178,0.0,0.0,2814.6000433672584,0.0,10067.261435116012,0.0,0.0,0.0,2814.6000433672584,10697.131905009044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36527.328293759165,181407.450932816,0.0,36527.32829375916,1.0
 ,56,4114.389878352277,3003.2042907680857,0.0,0.0,570.9513860775828,0.0,2042.1789177222984,0.0,0.0,0.0,570.9513860775828,10126.180518931462,0.0,7039.210537131316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181407.450932816,0.0,7039.2105371313155,1.0
 ,57,20282.570832513138,14804.79622811178,4351.575437798129,386.80670558205594,2814.6000433672584,0.0,10067.261435116012,0.0,3094.4536446564475,0.0,2427.7933377852028,7698.3871811462595,0.0,51440.38469442116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181407.450932816,386.80670558205594,51440.384694421155,1.0
 ,58,20282.570832513138,14804.79622811178,24762.122360705896,2201.0775431738575,2814.6000433672584,0.0,10067.261435116012,0.0,17608.62034539086,0.0,613.5225001934014,7084.864680952858,0.0,129954.65607011662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181407.450932816,2201.0775431738575,129954.65607011662,1.0
 ,59,20282.570832513138,14804.796228111778,46400.95842411116,4124.52963769877,2814.6000433672584,0.0,10067.26143511601,0.0,32996.23710159016,1309.9295943315115,0.0,8394.79427528437,0.0,214425.18251569243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181407.450932816,4124.52963769877,214425.18251569243,1.0
 ,60,20282.570832513138,14804.79622811178,59764.637003103424,5312.412178053638,2814.6000433672584,0.0,10067.261435116012,0.0,42499.2974244291,2497.81213468638,0.0,10892.60640997075,0.0,266948.5226773645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181407.450932816,5312.412178053638,266948.5226773645,1.0
 ,61,20282.570832513138,14804.79622811178,66790.90099824371,5936.968977621664,2814.6000433672584,0.0,10067.261435116012,0.0,47495.75182097331,3122.3689342544044,0.0,14014.975344225148,0.0,294563.88709226437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181407.450932816,5936.968977621664,294563.88709226437,1.0
 ,62,20282.570832513138,14804.79622811178,70235.148054685,6243.124271527557,2814.6000433672584,0.0,10067.261435116012,0.0,49944.99417222045,3428.5242281602973,0.0,17443.499572385444,0.0,308100.83043290145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181407.450932816,6243.124271527557,308100.83043290145,1.0
 ,63,20282.570832513138,14804.796228111778,67617.52029178962,6010.446248159078,2814.6000433672584,0.0,10067.26143511601,0.0,48083.569985272625,3195.846204791819,0.0,20639.345777177263,0.0,297812.7534940173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181407.450932816,6010.446248159078,297812.7534940173,1.0
 ,64,20282.570832513138,14804.796228111778,60453.4864143917,5373.643236834818,2814.6000433672584,0.0,10067.26143511601,0.0,42989.14589467854,2559.0431934675594,0.0,23198.38897064482,0.0,269655.911345492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181407.450932816,5373.643236834818,269655.911345492,1.0
 ,65,20282.570832513138,14804.79622811178,47916.427128945325,4259.237967017362,2814.6000433672584,0.0,10067.261435116012,0.0,34073.9037361389,1444.637923650103,0.0,24643.026894294922,0.0,220381.43758557274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181407.450932816,4259.237967017362,220381.43758557274,1.0
