Informations,Time,MeOH biogas H2,Biogas w H2,H2O wwtp,H2_from_SOEC_A,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,6388,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631874,0.0,0.0,1.3977123552123024e-12,1.3977123552123024e-12,140.9389207288513,6092.525282631876,1.0
 ,6389,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631874,0.0,0.0,1.3977123552123024e-12,0.0,140.9389207288513,6092.525282631876,1.0
 ,6390,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,44.73219737615179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6047.793085255723,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,6391,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,1046.7334186019518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5045.791864029923,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,6392,3713.8508371385087,4667.681380010147,1585.5628581995775,140.93892072885134,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,2093.4668372039037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3999.0584454279733,0.0,0.0,0.0,0.0,140.93892072885134,6092.5252826318765,1.0
 ,6393,3713.8508371385087,4667.681380010147,1585.5628581995775,140.93892072885134,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,2549.7352504406517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3542.7900321912252,0.0,0.0,0.0,0.0,140.93892072885134,6092.5252826318765,1.0
 ,6394,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,2737.6104794204894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3354.914803211386,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,6395,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,2773.396237321411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3319.129045310464,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,6396,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,2415.5386583121967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3676.9866243196784,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,6397,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,1628.251984491925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4464.2732981399495,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
