Informations,Time,Biomass bamboo 2,Biochar,DME-B2,H2O sea,H2_from_SOEC_HI,H2_pipeline_to_Bamboo-2,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP198-HH100,SP198-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,3500,14068.428192265406,0.0,9135.342981990523,2220.6290608968134,197.38924985749452,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,1579.1139988599562,0.0,1057.4655553609837,30824.73648398512,0.0,3495.3667618480717,4914.696566197589,0.0,0.0,0.0,0.0,4734.727816175728,197.38924985749452,8410.06332804566,1.0
 ,3501,14068.428192265406,0.0,9135.342981990523,4283.601048439054,380.764537639027,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,3046.116301112216,0.0,874.0902675794513,29950.646216405672,0.0,6482.720211966931,8212.703019123053,0.0,0.0,0.0,0.0,4734.727816175728,380.764537639027,14695.423231089982,1.0
 ,3502,14068.428192265406,0.0,9135.342981990523,6116.0507518788845,543.6489557225675,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,4349.19164578054,0.0,711.2058494959108,29239.440366909763,0.0,9219.820842851339,11058.618522193952,0.0,0.0,0.0,0.0,4734.727816175728,543.6489557225676,20278.43936504529,1.0
 ,3503,14068.428192265406,0.0,9135.342981990523,14117.116558707881,1254.8548052184783,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,10038.838441747826,0.0,0.0,29239.440366909763,0.0,19479.185586408195,23227.60490221617,0.0,0.0,0.0,2051.4696035549305,2683.258212620797,1254.8548052184792,44758.26009217931,1.0
 ,3504,14068.428192265406,0.0,9135.342981990523,14511.324758486673,1289.8955340877044,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,10319.164272701635,35.04072886922609,0.0,29274.48109577899,0.0,20977.239741852267,24912.43898796238,0.0,0.0,0.0,0.0,2683.258212620797,1289.8955340877046,45889.67872981465,1.0
 ,3505,14068.428192265406,0.0,9135.342981990523,15618.213325850953,1388.2856289645292,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,11106.285031716234,133.43082374605066,0.0,29407.91191952504,0.0,23188.18382406047,26166.394337555506,0.0,0.0,0.0,0.0,2683.258212620797,1388.2856289645295,49354.57816161598,1.0
 ,3506,14068.428192265406,0.0,9135.342981990523,15522.138454304451,1379.745640382618,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,11037.965123060943,124.89083516413973,0.0,29532.80275468918,0.0,23220.84642503298,25832.98803243171,0.0,0.0,0.0,0.0,2683.258212620797,1379.7456403826184,49053.83445746469,1.0
 ,3507,14068.428192265406,0.0,9135.342981990523,14117.116558707881,1254.8548052184783,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,10038.838441747826,0.0,0.0,29532.80275468918,0.0,19177.217200387986,22929.37410962379,0.0,0.0,0.0,2683.258212620797,0.0,1254.8548052184783,44789.84952263257,1.0
 ,3508,14068.428192265406,0.0,9135.342981990523,11571.116971040656,1028.5437307591694,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,8228.349846073355,0.0,226.31107445930888,29306.49168022987,589.2399544745969,17039.557469896285,19269.864943905533,0.0,0.0,0.0,0.0,0.0,1028.5437307591696,36898.66236827642,1.0
 ,3509,14068.428192265406,0.0,9135.342981990523,12867.526670453077,1143.780148484718,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,9150.241187877744,0.0,111.07465673375918,29195.41702349611,5990.606203825068,16839.441309819857,18018.45110631629,0.0,0.0,0.0,0.0,0.0,1143.7801484847182,40848.49861996122,1.0
 ,3510,14068.428192265406,0.0,9135.342981990523,19522.864383779855,1735.365723002654,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,13882.925784021232,480.5109177841756,0.0,29675.927941280286,18855.6785431871,20660.55205386831,22061.098463701295,0.0,0.0,0.0,0.0,0.0,1735.3657230026538,61577.3290607567,1.0
 ,3511,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,30208.518701641224,35256.19060939671,22149.46478259191,25338.76589518818,0.0,19333.051745227032,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
 ,3512,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,30741.10946200216,59709.64872009248,28306.839206567096,27920.767455870908,0.0,52525.88584058073,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
 ,3513,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,31273.7002223631,71887.27444590082,28776.468330968135,26574.947618614402,0.0,63827.3208535336,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
 ,3514,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,31806.290982724036,74538.8542410365,30792.392848651783,27929.284202424715,0.0,69849.16175016324,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
 ,3515,14068.428192265406,0.0,9135.342981990523,20108.76261276842,1787.4455655794152,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14299.564524635322,532.5907603609369,0.0,32338.881743084974,74244.23426379921,29696.906982915265,26968.836456413814,0.0,67498.60816117853,0.0,0.0,0.0,1787.4455655794152,63411.36954194977,1.0
